timestamp	name	description	ccc_mean	ccc_std	slope_mean	mae_mean	improvement	wilcoxon_p	status	runtime_s
2026-03-14T18:45	ccc_baseline	v2+FM MSE K=300 col=0.5 5seeds (strict items 9-14)	0.3928	0.1346	0.2547	1.8738	0.000	1.000	BASELINE	18.7
2026-03-14T19:00	reg_lambda_1.0	Lower reg_lambda 3.0→1.0	0.3966	0.1378	0.2571	1.8729	+0.0038	0.1875	DISCARD	18.5
2026-03-14T19:02	reg_lambda_0.5	Lower reg_lambda 3.0→0.5	0.4097	0.1426	0.2691	1.8633	+0.0169	0.0625	KEEP	18.7
2026-03-14T19:04	reg_lambda_0.1	Lower reg_lambda 0.5→0.1	0.4073	0.1401	0.2669	1.8654	-0.0024	0.4375	DISCARD	18.2
2026-03-14T19:06	min_leaf_10	min_data_in_leaf 20→10	0.5145	0.1182	0.3572	1.7550	+0.1048	0.1250	KEEP	21.3
2026-03-14T19:08	min_leaf_5	min_data_in_leaf 10→5	0.5196	0.1438	0.3562	1.7343	+0.0051	1.0000	DISCARD	25.0
2026-03-14T19:10	leaves_63	num_leaves 31→63	0.5145	0.1182	0.3572	1.7550	+0.0000	1.0000	DISCARD	22.5
2026-03-14T19:12	leaves127_depth8	num_leaves=127 max_depth=8	0.5145	0.1182	0.3572	1.7550	+0.0000	1.0000	DISCARD	21.7
2026-03-14T19:14	k200	feature_k 300→200	0.5142	0.1044	0.3599	1.7647	-0.0003	1.0000	DISCARD	21.3
2026-03-14T19:16	k150	feature_k 300→150	0.5187	0.1099	0.3648	1.7863	+0.0042	0.8125	DISCARD	20.7
2026-03-14T19:18	col0.3	colsample 0.5→0.3	0.5030	0.1138	0.3433	1.7740	-0.0115	0.1250	DISCARD	21.4
2026-03-14T19:20	col0.7	colsample 0.5→0.7	0.5101	0.1147	0.3527	1.7802	-0.0044	0.6250	DISCARD	22.0
2026-03-14T19:22	lr0.01	learning_rate 0.03→0.01	0.5159	0.1135	0.3568	1.7578	+0.0014	1.0000	DISCARD	22.8
2026-03-14T19:24	lr0.05	learning_rate 0.03→0.05	0.5050	0.1302	0.3526	1.7719	-0.0095	0.6250	DISCARD	20.7
2026-03-14T19:26	avg_ensemble	LGB+XGB average	0.4756	0.0965	0.3041	1.7652	-0.0389	0.1250	DISCARD	43.5
2026-03-14T19:30	stack_ensemble	LGB+XGB stack Ridge	0.5240	0.1008	0.3679	1.7672	+0.0095	1.0000	DISCARD	184.0
2026-03-14T19:32	subsample_0.8	subsample 1.0→0.8	0.5145	0.1182	0.3572	1.7550	+0.0000	1.0000	DISCARD	22.4
2026-03-14T19:34	fm_only	FM-only (drop v2)	0.1926	0.0962	0.1140	2.1734	-0.3219	0.0625	DISCARD	10.4
2026-03-14T19:36	3seeds	5→3 seeds	0.5056	0.1249	0.3490	1.7560	-0.0089	0.1875	DISCARD	20.0
2026-03-14T19:38	v2_only	v2-only (drop FM)	0.5219	0.1384	0.3636	1.8025	+0.0074	1.0000	DISCARD	19.0
2026-03-14T19:40	10split	10-split CV evaluation	0.5806	0.1475	0.4008	1.6635	N/A	N/A	INFO	39.8
2026-03-14T19:42	k400	feature_k 300→400	0.5141	0.1177	0.3546	1.7505	-0.0004	1.0000	DISCARD	23.5
2026-03-14T19:44	valfrac_0.10	val_frac 0.15→0.10	0.4656	0.1355	0.3094	1.8058	-0.0489	0.1250	DISCARD	19.4
2026-03-14T19:46	valfrac_0.20	val_frac 0.15→0.20	0.5117	0.1337	0.3569	1.7630	-0.0028	1.0000	DISCARD	22.9
2026-03-14T19:48	min_leaf_7	min_data_in_leaf 10→7	0.5118	0.1568	0.3507	1.7233	-0.0027	1.0000	DISCARD	22.2
