model,label,target,status,source,policy,policy_note,discard_frac,retained_frac,score_threshold,retained_n,ccc,mae,r
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.0,1.0,7.875078354208393,94,0.6549835213947802,1.5614339199332312,0.7012294353910614
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.1,0.9,3.6438674689544017,85,0.43511422076294937,1.533622318327186,0.5184775101609755
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.2,0.8,1.9381930101242866,75,0.29552738347897545,1.467809368335342,0.3927641426783993
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.3,0.7,1.5265339997548573,66,0.2065721893187786,1.43570185506469,0.30892045066253954
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.4,0.6,1.1160713167302885,56,0.17212047043380668,1.429097139941075,0.3040029503657002
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.5,0.5,0.834984294156059,47,0.10578906923162895,1.4756396602198898,0.22079062808306404
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.0,1.0,5.290097536240454,94,0.6549835213947802,1.5614339199332312,0.7012294353910614
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.1,0.9,3.579247035497228,85,0.7480039825745631,1.2588077343807602,0.7699316426927395
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.2,0.8,2.2752233913812354,75,0.8032628036203785,1.0468680154753367,0.8094384134052313
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.3,0.7,2.0234476730609523,66,0.8569412445167934,0.8987969293132385,0.8622868049914217
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.4,0.6,1.6197125083745312,56,0.8979873501267189,0.7314102570767476,0.9007280714147583
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.5,0.5,1.3238039923056473,47,0.9438768390770657,0.578512805232383,0.9481286103247327
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.0,1.0,12.48474463184981,93,0.7365943676137859,1.7310042704168862,0.7405701806544314
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.1,0.9,5.074432092449269,84,0.5807718926086736,1.6419480346058721,0.5860635122993387
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.2,0.8,3.317974929791291,74,0.4008834451891298,1.621189190653999,0.41332972309416244
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.3,0.7,2.605079157921429,65,0.3979782104184043,1.5291859999202075,0.4640882418431945
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.4,0.6,2.0322429681028824,56,0.26528371765936076,1.5011206646832231,0.33523135816439387
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.5,0.5,1.6312379257337368,46,0.14200491879684482,1.4112592632022065,0.18767564918058527
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.0,1.0,4.5773914554985256,93,0.7365943676137859,1.7310042704168862,0.7405701806544314
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.1,0.9,3.710785915953468,84,0.782024947998541,1.4513957958114614,0.784625136217981
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.2,0.8,2.70724857383683,74,0.8454406944785305,1.2056046359021124,0.8486425634341828
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.3,0.7,2.3481880753036832,65,0.892420922148443,1.0220957654320835,0.8949746140497291
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.4,0.6,1.8729869849911518,56,0.9281879880829585,0.8375238408750916,0.9298382154700205
