model,label,target,status,source,group,nominal_coverage,alpha,n,empirical_coverage,mean_interval_width,median_interval_width,min_q,max_q
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,all,0.5,0.5,94,0.5,2.7682673369000232,2.7682673369000232,1.3238039923056473,1.444463344594376
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,NLS,0.5,0.5,68,0.47058823529411764,2.761169727941862,2.647607984611295,1.3238039923056473,1.444463344594376
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,WPD,0.5,0.5,26,0.5769230769230769,2.7868303141752127,2.888926689188752,1.3238039923056473,1.444463344594376
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,all,0.8,0.19999999999999996,94,0.8085106382978723,4.99227020974402,5.0423207481279135,2.390472857172681,2.5211603740639568
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,NLS,0.8,0.19999999999999996,68,0.7647058823529411,4.980820740179078,5.0423207481279135,2.390472857172681,2.5211603740639568
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,WPD,0.8,0.19999999999999996,26,0.9230769230769231,5.0222149762984865,5.0423207481279135,2.390472857172681,2.5211603740639568
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,all,0.95,0.050000000000000044,94,0.9574468085106383,9.078489911479231,9.090939623133355,4.399185699630705,4.545469811566678
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,NLS,0.95,0.050000000000000044,68,0.9411764705882353,9.073729727611479,9.090939623133355,4.399185699630705,4.545469811566678
t1_iter12_honest,T1 iter12 honest floor,T1_items_9_14,canonical_floor,results/t1_iter12_honest_composite.json,WPD,0.95,0.050000000000000044,26,1.0,9.090939623133355,9.090939623133355,4.545469811566678,4.545469811566678
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,all,0.5,0.5,93,0.5053763440860215,3.1054779501750787,3.1152369309761445,1.5477534088087324,1.5576184654880727
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,NLS,0.5,0.5,68,0.5147058823529411,3.1056620230226684,3.1152369309761445,1.5477534088087324,1.5576184654880727
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,WPD,0.5,0.5,25,0.48,3.104977272029631,3.0955068176174656,1.5477534088087324,1.5576184654880727
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,all,0.8,0.19999999999999996,93,0.8064516129032258,5.740832961958572,5.748287519759792,2.8548861522267472,2.874143759879896
