sid,task,recording,i11ms_Lshank_AP_w2s_mean,i11ms_Lshank_AP_w2s_max,i11ms_Lshank_AP_w2s_p95,i11ms_Lshank_AP_w2s_count,i11ms_Lshank_AP_w4s_mean,i11ms_Lshank_AP_w4s_max,i11ms_Lshank_AP_w4s_p95,i11ms_Lshank_AP_w4s_count,i11ms_Lshank_AP_w8s_mean,i11ms_Lshank_AP_w8s_max,i11ms_Lshank_AP_w8s_p95,i11ms_Lshank_AP_w8s_count,i11ms_Rshank_AP_w2s_mean,i11ms_Rshank_AP_w2s_max,i11ms_Rshank_AP_w2s_p95,i11ms_Rshank_AP_w2s_count,i11ms_Rshank_AP_w4s_mean,i11ms_Rshank_AP_w4s_max,i11ms_Rshank_AP_w4s_p95,i11ms_Rshank_AP_w4s_count,i11ms_Rshank_AP_w8s_mean,i11ms_Rshank_AP_w8s_max,i11ms_Rshank_AP_w8s_p95,i11ms_Rshank_AP_w8s_count,i11ms_Lumbar_AP_w2s_mean,i11ms_Lumbar_AP_w2s_max,i11ms_Lumbar_AP_w2s_p95,i11ms_Lumbar_AP_w2s_count,i11ms_Lumbar_AP_w4s_mean,i11ms_Lumbar_AP_w4s_max,i11ms_Lumbar_AP_w4s_p95,i11ms_Lumbar_AP_w4s_count,i11ms_Lumbar_AP_w8s_mean,i11ms_Lumbar_AP_w8s_max,i11ms_Lumbar_AP_w8s_p95,i11ms_Lumbar_AP_w8s_count,i11ms_Lumbar_ML_w2s_mean,i11ms_Lumbar_ML_w2s_max,i11ms_Lumbar_ML_w2s_p95,i11ms_Lumbar_ML_w2s_count,i11ms_Lumbar_ML_w4s_mean,i11ms_Lumbar_ML_w4s_max,i11ms_Lumbar_ML_w4s_p95,i11ms_Lumbar_ML_w4s_count,i11ms_Lumbar_ML_w8s_mean,i11ms_Lumbar_ML_w8s_max,i11ms_Lumbar_ML_w8s_p95,i11ms_Lumbar_ML_w8s_count,i11ms_n_freeze_events,i11ms_total_freeze_s,i11ms_max_freeze_run_s,i11ms_mean_freeze_s,i11ms_wp_ent_mean,i11ms_wp_ent_max,i11ms_wp_ent_std,i11ms_full_stride_n,i11ms_full_stride_dur_cv,i11ms_full_stride_dur_p95,i11ms_full_stride_dur_iqr,i11ms_full_stride_amp_cv,i11ms_full_stride_amp_iqr,i11ms_t0_stride_n,i11ms_t0_stride_dur_cv,i11ms_t0_stride_dur_p95,i11ms_t0_stride_dur_iqr,i11ms_t0_stride_amp_cv,i11ms_t0_stride_amp_iqr,i11ms_t1_stride_n,i11ms_t1_stride_dur_cv,i11ms_t1_stride_dur_p95,i11ms_t1_stride_dur_iqr,i11ms_t1_stride_amp_cv,i11ms_t1_stride_amp_iqr,i11ms_t2_stride_n,i11ms_t2_stride_dur_cv,i11ms_t2_stride_dur_p95,i11ms_t2_stride_dur_iqr,i11ms_t2_stride_amp_cv,i11ms_t2_stride_amp_iqr
NLS135,TandemGait,NLS135_TandemGait,1.9753196726605475,8.585991569215686,4.550604550637604,13.0,1.5602478219645017,6.864020458633539,3.6414390912524564,10.0,1.0311642369649086,1.7775404685880496,1.5182711982141086,0.0,1.7509898693876493,6.879411903346124,4.446080331133461,11.0,1.513680281695113,6.711882879816076,4.536221082383912,5.0,1.1268014369635944,1.5352864103352368,1.4833147349152096,0.0,1.2817372777698708,6.736266690881784,2.4304934574885557,9.0,0.9665020729188247,2.074430299110776,1.548206665062836,1.0,0.8640624115787443,1.1223515201602174,1.1123161771056782,0.0,3.1535476563404328,20.660875621431696,8.220962170957232,21.0,3.0020822377849266,11.122585364168797,8.53960801653377,24.0,2.8713610621957777,5.410636445125839,4.202245565981165,26.0,2,22.5,19.0,11.25,0.6049500049947634,1.0760771650603402,0.47112716006557687,22.0,0.5071265598698116,2.029,0.5675000000000001,0.8315955914881157,1.4440715,7.0,0.43343208431165214,1.589,0.745,1.0104976071527656,0.12525999999999998,8.0,0.30774241057671975,1.351,0.2775000000000001,0.593693939669221,0.6184632499999998,6.0,0.43338523250447386,1.8949999999999998,0.5824999999999998,0.44009064937675424,0.8984527500000001
NLS139,HurriedPace,NLS139_HurriedPace,5.403450488190766,87.47470298162195,28.972567643040975,12.0,3.7562779879624855,48.712280379222385,25.302196655038106,8.0,0.32951869410270235,0.47733246370432714,0.42211485005288957,0.0,17.125388996379687,168.7235359525115,112.41607336970394,11.0,15.030850245358199,197.48531476326983,123.00063201912971,8.0,0.45352947761731927,2.3997666490597216,0.47852767416034314,1.0,10.77715014813582,144.30246439269158,85.09021770177335,14.0,4.134059317288331,94.40343664477015,9.714609906077166,8.0,0.3307241935273775,2.1214202692840898,0.3407007251677847,1.0,19.393509075366154,96.08916695821789,44.40589775058021,47.0,16.02162999482246,48.00795774006054,35.24159721531809,48.0,12.493940026911512,23.707477447913767,21.81465274988208,40.0,1,28.5,28.5,28.5,1.5154456683479114,1.5154456683479114,0.0,23.0,0.14563488794332907,1.11,0.14,0.2654462079768622,1.1208149999999995,6.0,0.4422043246008707,2.385,1.025,0.9860601799120393,4.17208825,10.0,0.12831125485402625,1.062,0.13000000000000012,0.25711845600331223,2.20746325,8.0,0.16637018851542504,1.24,0.24250000000000016,0.1383586265631964,1.12462275
NLS139,SelfPace,NLS139_SelfPace,4.207910966738304,52.81814857005457,33.59880537263934,13.0,2.6683945409659664,36.12038600026768,21.089932640820425,7.0,0.39746148542944676,1.3612733683957448,0.5224205177970538,0.0,14.110047569777556,209.01043517149182,104.93932136209314,12.0,8.90566394151125,115.02449624182096,77.34236310172622,8.0,0.546830741503151,1.9610344921330445,0.6097464123046936,0.0,21.103100569590914,540.8548474654494,136.72215156653903,18.0,12.4036407222343,161.54926889127375,110.41959871123328,10.0,0.6633889764114465,5.850615662559681,0.776172461285938,1.0,6.375013075169984,19.373087997466207,16.03636745085092,59.0,5.621908882877849,19.298396188561313,12.867456594202576,56.0,3.6448508364255403,9.401724152001071,8.2081210292708,45.0,1,39.0,39.0,39.0,1.3156037128834601,1.3156037128834601,0.0,28.0,0.3257118213675564,1.6724999999999999,0.0774999999999999,0.3454702421128821,0.75810925,9.0,0.2667392805678106,1.8539999999999996,0.25,0.7452056580771057,2.446543,9.0,0.17241294778655847,1.4659999999999997,0.06000000000000005,0.2526483672843072,0.5136200000000004,10.0,0.19040808770653947,1.5159999999999996,0.11750000000000016,0.37439836353739,1.9045727499999994
NLS139,TUG,NLS139_TUG,3.1063644988314536,54.114740304914235,10.896002527455435,33.0,1.294619032322165,9.443632104941136,5.099812400648645,18.0,0.4602933161968804,2.0631949360658197,1.138856533656559,1.0,7.211188463722702,99.13698816671996,35.85203109688299,33.0,4.25487404679684,50.3156036355662,29.30976710129386,23.0,0.5464867542389398,2.4073468011971655,1.0181509265034592,1.0,2.131586382901549,14.961443164294947,10.477691618932013,22.0,1.3327340848623053,9.869531087089864,5.1263493885886255,13.0,0.6928902060479166,3.3472527934094307,0.8709449235563002,1.0,6.722271373719508,79.58824149465954,22.822059820835136,59.0,3.28499200354269,21.79043103538739,9.072643435672246,49.0,2.1934306501660155,8.957112517354522,3.3240654886362444,50.0,1,50.0,50.0,50.0,0.9045228851061576,0.9045228851061576,0.0,32.0,0.6647011238475272,2.7849999999999984,0.44499999999999984,0.48312398879166163,1.1121157499999996,9.0,0.25620875194078163,1.4,0.36,0.41511624375875295,0.435759,10.0,0.706556050538843,2.872499999999997,0.2074999999999998,0.5041911861571865,0.7095095000000002,11.0,0.3219680278891532,1.345,0.45999999999999996,0.45013127851512913,1.7302349999999995
NLS130,TandemGait,NLS130_TandemGait,3.2605055806969365,56.07428425917845,13.48429723692798,29.0,0.9709425297948664,6.145075909843463,2.478295138270518,7.0,0.6660084091687325,1.4428084155917567,1.276555038455538,0.0,2.067110484175005,16.10561980646864,6.563195537617955,26.0,1.0388870008817812,9.548954486936623,2.6667855750871925,9.0,0.7205030892483211,1.757880011885839,1.4030009655518212,0.0,2.3349884425714675,11.650827173790532,5.085913870503849,34.0,1.869598140487802,5.43983044537252,3.3856386048484337,33.0,1.7478207108152346,2.5996192605470654,2.4263605884911073,21.0,4.0164340947990045,26.104878991778843,9.528569974468116,55.0,3.470926470449067,11.115626297376991,6.972385084567437,63.0,3.206675913670228,6.278715225989031,5.464213075055645,58.0,1,43.0,43.0,43.0,0.7441924108579288,0.7441924108579288,0.0,26.0,0.4503329325725615,2.365,1.2325,0.5884394722738365,0.9325372499999998,10.0,0.5242166169021365,2.6469999999999994,0.9249999999999999,0.8290047458464064,0.7435299999999999,8.0,0.37665164374926713,2.3585,1.1175,0.5754155160490946,0.6405497500000001,8.0,0.3383062518547162,2.5879999999999996,0.7099999999999997,0.44328025981983576,0.6682845000000001
NLS135,HurriedPace,NLS135_HurriedPace,1.5218110598856922,7.604967142244922,4.171489366909694,9.0,1.2866417130382943,4.3270013897185375,3.1365490934355496,6.0,1.0825377110342238,4.786561366263914,2.1713885800545314,2.0,1.3929116248807198,3.84227034348577,3.0224412019826974,8.0,1.4577597790765948,3.608207363262241,2.1318046678243245,4.0,1.326495089179578,2.494766657190239,1.7749738568664504,1.0,0.7747487021770624,6.069886260072392,2.015160643006188,3.0,0.5902644324758707,3.504171503391772,1.182520319812988,1.0,0.48478051803093186,2.662751208428178,0.9543990351663731,1.0,7.466758087010724,42.640074537814684,22.39345287680088,28.0,6.200459949286899,27.910215637549538,17.18794605175085,31.0,5.529650485162095,14.54137095143877,12.777359004133341,33.0,2,24.5,21.0,12.25,1.2488276234670428,1.9454168289413916,0.6965892054743488,28.0,0.4366367939085262,1.836499999999999,0.27,0.6728368873094427,3.30585875,7.0,0.31908059418743023,1.4209999999999998,0.345,0.3784895373303441,0.027234000000000008,11.0,0.2399580925459002,0.9650000000000001,0.24,0.3453908494294539,1.8296199999999994,9.0,0.3416126731789765,1.2939999999999998,0.36,0.39920610078263585,1.9751959999999995
NLS135,SelfPace,NLS135_SelfPace,1.266814671770318,5.995711861419723,4.1888296467422785,11.0,0.9137150174497276,3.3747196335077874,2.166309010552215,6.0,0.7296121852891759,3.8616353143377395,1.0686274001773866,2.0,1.2997925631909506,6.0481813422295625,2.5446648817995374,7.0,1.008528678881464,2.1887144013451976,1.4853123232868797,1.0,0.9534993124546229,1.5469547109003308,1.2538055611312164,0.0,0.8453268427746532,3.1195473851466518,2.60292974549138,6.0,0.772552905189837,1.7093800927177631,1.4219362225171233,0.0,0.665789248274448,1.0617412111299125,0.8421825801676172,0.0,5.951231095286317,17.547560333315324,14.838165542401287,42.0,6.140857936769725,15.656942692751908,13.43906103107253,45.0,4.6558534731282695,10.983992398070955,9.316683742997593,53.0,3,34.5,18.5,11.5,1.557942452035255,1.9128652194414557,0.2599592639765942,31.0,0.3271019043275639,1.825,0.33499999999999996,0.5488529611240652,1.1917295,5.0,0.5607199618178257,3.5119999999999996,0.9100000000000001,0.5939839563361893,1.5737240000000001,10.0,0.31056917070587337,1.5824999999999998,0.6675,0.3504649314652576,1.0285859999999998,11.0,0.22876025701715044,1.245,0.2799999999999998,0.3530013676907405,0.7305004999999998
NLS135,TUG,NLS135_TUG,2.5257357993357235,13.769552273865564,6.323458793548488,28.0,1.7351490354902552,5.519839679102353,4.944705952713688,17.0,0.9259557773608001,1.2737855419524535,1.1794758168930888,0.0,4.31651687697541,41.98399186540322,13.36950323180211,37.0,3.280160858348876,29.856062289577103,10.902685174171117,23.0,1.3476627157653434,2.106618850865585,1.761355779420783,1.0,1.6346244628537951,12.010041765815078,8.602371537114776,15.0,0.9238099193802981,8.91522045332591,3.317495052671401,9.0,0.6438668276230665,1.5201249147560165,1.411566052823859,0.0,3.3392621654230745,25.836560786330672,13.730508773897553,28.0,2.417145214388977,6.650255568826682,5.031152912762272,40.0,2.5861219848794756,3.864444450839057,3.638167515115979,48.0,1,37.5,37.5,37.5,1.265609086702649,1.265609086702649,0.0,33.0,0.43951129855475435,2.0939999999999994,0.3999999999999999,0.6487497792157578,3.335685,8.0,0.4988719920400271,2.328,0.44500000000000006,0.5476587264048945,2.7094080000000003,11.0,0.43132295330241943,1.685,0.5899999999999999,0.6617397763147654,3.3002620000000005,9.0,0.32214509713449635,1.906,0.45999999999999996,0.7280187537693363,3.594709
NLS101,TandemGait,NLS101_TandemGait,1.3788708196339878,16.312581720152405,4.133063849026065,14.0,0.5652659414119476,3.7148454321722046,1.6216413506628913,2.0,0.37288369902342583,1.174884631888313,0.70130837347439,0.0,1.243252364616594,9.70498335602216,3.3064965489455926,19.0,0.616204128550979,2.6381801664066127,2.151510173186448,5.0,0.3073723026843469,0.8560331411619466,0.611003685864681,0.0,3.1334799348014624,14.550204370544929,7.650392926846763,51.0,2.4335327963344535,7.973414085802858,4.260269841369321,46.0,2.2081300876025716,3.6116055702716836,3.0842244780478394,44.0,2.17628871970552,17.695996885847457,6.299349747190943,24.0,1.8503013292345143,6.504270588919631,3.446122468023998,34.0,1.534679940592896,2.994514827185311,2.722824262313096,23.0,2,41.5,35.0,20.75,1.3476558325936951,1.5625161916397283,0.21486035904603318,39.0,0.7948715521724715,2.140000000000001,0.6499999999999999,0.7559856649490666,1.5678885,7.0,0.4579321452474123,2.5349999999999993,0.585,0.8500730091778776,0.9855035,10.0,0.6719183612348766,3.076999999999998,0.965,0.3909642996214034,1.0528430000000002,17.0,0.4566017151911039,1.4059999999999995,0.32000000000000006,0.8124139540809224,1.4479609999999998
NLS102,HurriedPace,NLS102_HurriedPace,0.6051934003272009,2.99788602751869,1.5903764519808075,1.0,0.4598141787584002,1.8680550160871996,1.0788010143178972,0.0,0.358446431370068,0.451559017702091,0.42159445189513906,0.0,0.7604704944266704,2.8263896327096028,1.9849949707245091,4.0,0.653134387196724,3.0596733803260445,1.9459609360768753,3.0,0.45979342403471657,1.0229616512391309,0.5210455505779511,0.0,0.6886816940522513,4.693252431964849,2.954750750688919,9.0,0.3870351688419118,3.6493470098452327,1.6851485315691643,3.0,0.16526076806664994,0.33706886968361033,0.20131358353562673,0.0,4.452855084905565,21.89893444463566,15.077248760478419,34.0,3.6756573900689222,12.403090750234682,9.236042209023434,35.0,3.0964038039810573,8.685111075812692,6.1812867393368505,42.0,2,31.5,17.5,15.75,0.892620495226585,0.9497547633344379,0.05713426810785288,28.0,0.23222899565475613,1.2714999999999999,0.20999999999999996,0.21492139865136176,0.5201707500000001,5.0,0.21038084047915948,1.052,0.07999999999999996,0.3855452766966542,0.6864460000000001,12.0,0.17665649809927672,1.0385,0.17999999999999994,0.2734482822419452,0.5427077499999999,11.0,0.24089585690097898,1.28,0.27,0.22678360394663333,0.40888100000000005
