variant,eval,ccc_mean,ccc_std,mae_mean,scrambled_ccc,canary_ccc,wall_s,error
v2_baseline,5split,0.25166666666666665,0.020349829374114056,0.5933,-0.15147314110400886,0.2770144942869374,20.1,
iter6_repro,5split,0.3826666666666667,0.042251416807276676,0.5390333333333334,-0.1185768637697016,0.34061239353828326,23.4,
sensor_region_ensemble,5split,0.2819,0.042081587422529584,0.5629333333333334,-0.04401434615588378,0.31975328609257764,82.9,
sensor_region_plus_v2_anchor,5split,0.2793,0.04597020774371158,0.5677333333333334,-0.02501409184868847,0.325017330674665,139.3,
item_oof_meta_stack,5split,0.07153333333333334,0.03937286149395574,0.5958666666666667,-0.015812375739095264,0.06616875236743806,0.0,
item_oof_plus_v2,5split,0.1713,0.03661156465745033,0.6001,-0.012661224007495244,0.18882383743603873,57.2,
shap_top100_lgb,5split,0.3068666666666667,0.02157611848523476,0.5792333333333334,-0.1725082699152334,0.31499592520409114,24.5,
multi_sensor_energy,5split,0.28840000000000005,0.04559561382413884,0.5846,-0.1595615351661344,0.2893841766429123,20.3,
multi_sensor_energy_only,5split,0.23143333333333335,0.032451228362301215,0.6426000000000001,-0.11516661422664906,0.18733382546773003,1.7,
iter6_plus_mse,5split,0.37576666666666664,0.02376023755960551,0.5341,-0.12911765881371023,0.3232501253801314,24.8,
iter6_shap_top100,5split,0.34886666666666666,0.03712737833758562,0.5527,-0.12751551156388508,0.2938428071649658,25.5,
iter6_sensor_region,5split,0.33183333333333337,0.0218650914066743,0.5557,-0.06310112844816092,0.36706375531543256,172.6,
