sid,i4_L_Wrist_bp_1p5_4hz,i4_L_Wrist_dom_1p5_4hz,i4_L_Wrist_fatigability,i4_L_Wrist_facc_bp_1p5_4hz,i4_L_Wrist_facc_fat,i4_R_Wrist_bp_1p5_4hz,i4_R_Wrist_dom_1p5_4hz,i4_R_Wrist_fatigability,i4_R_Wrist_facc_bp_1p5_4hz,i4_R_Wrist_facc_fat,i4_LR_asym_bp,i4_LR_max_bp,i7_L_DorsalFoot_acc_z_pk_mean,i7_L_DorsalFoot_acc_z_pk_std,i7_L_DorsalFoot_acc_z_pk_p95,i7_L_DorsalFoot_acc_z_pk_fat,i7_L_DorsalFoot_acc_z_cadreg,i7_L_DorsalFoot_acc_z_bp_1_3hz,i7_L_DorsalFoot_gyr_y_pk_mean,i7_L_DorsalFoot_gyr_y_pk_std,i7_R_DorsalFoot_acc_z_pk_mean,i7_R_DorsalFoot_acc_z_pk_std,i7_R_DorsalFoot_acc_z_pk_p95,i7_R_DorsalFoot_acc_z_pk_fat,i7_R_DorsalFoot_acc_z_cadreg,i7_R_DorsalFoot_acc_z_bp_1_3hz,i7_R_DorsalFoot_gyr_y_pk_mean,i7_R_DorsalFoot_gyr_y_pk_std,i7_LR_asym_bp,i7_LR_max_bp,i7_LR_asym_amp,i8_L_LatShank_gyr_y_pk_mean,i8_L_LatShank_gyr_y_pk_std,i8_L_LatShank_gyr_y_pk_p95,i8_L_LatShank_gyr_y_pk_fat,i8_L_LatShank_gyr_y_cadreg,i8_L_LatShank_gyr_y_bp_0p5_2p5hz,i8_L_LatShank_acc_mag_std,i8_R_LatShank_gyr_y_pk_mean,i8_R_LatShank_gyr_y_pk_std,i8_R_LatShank_gyr_y_pk_p95,i8_R_LatShank_gyr_y_pk_fat,i8_R_LatShank_gyr_y_cadreg,i8_R_LatShank_gyr_y_bp_0p5_2p5hz,i8_R_LatShank_acc_mag_std,i8_LR_asym_swing,i8_LR_max_swing,i15_L_Wrist_facc_bp_pre,i15_L_Wrist_facc_bp_post,i15_L_Wrist_facc_zcr_pre,i15_L_Wrist_facc_zcr_post,i15_R_Wrist_facc_bp_pre,i15_R_Wrist_facc_bp_post,i15_R_Wrist_facc_zcr_pre,i15_R_Wrist_facc_zcr_post,i15_LR_asym_bp,i15_LR_max_bp,i17_L_Wrist_Gyr_X_first5s_bp_4_6hz,i17_L_Wrist_Gyr_X_first5s_pkfreq,i17_L_Wrist_Gyr_X_first5s_idx46,i17_L_Wrist_Gyr_X_last5s_bp_4_6hz,i17_L_Wrist_Gyr_X_last5s_pkfreq,i17_L_Wrist_Gyr_X_last5s_idx46,i17_L_Wrist_Gyr_Y_first5s_bp_4_6hz,i17_L_Wrist_Gyr_Y_first5s_pkfreq,i17_L_Wrist_Gyr_Y_first5s_idx46,i17_L_Wrist_Gyr_Y_last5s_bp_4_6hz,i17_L_Wrist_Gyr_Y_last5s_pkfreq,i17_L_Wrist_Gyr_Y_last5s_idx46,i17_L_Wrist_Gyr_Z_first5s_bp_4_6hz,i17_L_Wrist_Gyr_Z_first5s_pkfreq,i17_L_Wrist_Gyr_Z_first5s_idx46,i17_L_Wrist_Gyr_Z_last5s_bp_4_6hz,i17_L_Wrist_Gyr_Z_last5s_pkfreq,i17_L_Wrist_Gyr_Z_last5s_idx46,i17_R_Wrist_Gyr_X_first5s_bp_4_6hz,i17_R_Wrist_Gyr_X_first5s_pkfreq,i17_R_Wrist_Gyr_X_first5s_idx46,i17_R_Wrist_Gyr_X_last5s_bp_4_6hz,i17_R_Wrist_Gyr_X_last5s_pkfreq,i17_R_Wrist_Gyr_X_last5s_idx46,i17_R_Wrist_Gyr_Y_first5s_bp_4_6hz,i17_R_Wrist_Gyr_Y_first5s_pkfreq,i17_R_Wrist_Gyr_Y_first5s_idx46,i17_R_Wrist_Gyr_Y_last5s_bp_4_6hz,i17_R_Wrist_Gyr_Y_last5s_pkfreq,i17_R_Wrist_Gyr_Y_last5s_idx46,i17_R_Wrist_Gyr_Z_first5s_bp_4_6hz,i17_R_Wrist_Gyr_Z_first5s_pkfreq,i17_R_Wrist_Gyr_Z_first5s_idx46,i17_R_Wrist_Gyr_Z_last5s_bp_4_6hz,i17_R_Wrist_Gyr_Z_last5s_pkfreq,i17_R_Wrist_Gyr_Z_last5s_idx46,i17_LR_asym_idx,i17_LR_max_idx,i18_L_Wrist_burst_frac,i18_L_Wrist_burst_meanlen,i18_L_Wrist_burst_count,i18_R_Wrist_burst_frac,i18_R_Wrist_burst_meanlen,i18_R_Wrist_burst_count,i18_LR_asym_burst,i18_LR_max_burst,i16_L_Wrist_jerk_bp_5_8hz,i16_L_Wrist_jerk_slope,i16_L_Wrist_jerk_p95,i16_R_Wrist_jerk_bp_5_8hz,i16_R_Wrist_jerk_slope,i16_R_Wrist_jerk_p95,i6_L_Wrist_Gyr_X_peak,i6_L_Wrist_Gyr_X_jerk,i6_L_Wrist_Gyr_X_bp_0p5_3hz,i6_L_Wrist_Gyr_Y_peak,i6_L_Wrist_Gyr_Y_jerk,i6_L_Wrist_Gyr_Y_bp_0p5_3hz,i6_L_Wrist_Gyr_Z_peak,i6_L_Wrist_Gyr_Z_jerk,i6_L_Wrist_Gyr_Z_bp_0p5_3hz,i6_L_Wrist_VelInc_X_std,i6_L_Wrist_VelInc_Y_std,i6_L_Wrist_VelInc_Z_std,i6_R_Wrist_Gyr_X_peak,i6_R_Wrist_Gyr_X_jerk,i6_R_Wrist_Gyr_X_bp_0p5_3hz,i6_R_Wrist_Gyr_Y_peak,i6_R_Wrist_Gyr_Y_jerk,i6_R_Wrist_Gyr_Y_bp_0p5_3hz,i6_R_Wrist_Gyr_Z_peak,i6_R_Wrist_Gyr_Z_jerk,i6_R_Wrist_Gyr_Z_bp_0p5_3hz,i6_R_Wrist_VelInc_X_std,i6_R_Wrist_VelInc_Y_std,i6_R_Wrist_VelInc_Z_std,i6_LR_asym_x,i6_LR_asym_y
NLS002,3659.76140885134,1.6932157644507635,0.02295303875580426,67959.66795681108,0.21618096977472298,1553.9274183480854,2.0336566264689875,0.03253964856266974,80920.37718454843,0.1741571784019469,2105.833990503255,3659.76140885134,16.330918550491333,10.52632761001587,34.832434272766115,-0.05168155846353417,0.47818423734388704,833867.3512156944,6.713688254356384,3.236971437931061,15.249284029006958,11.084150552749634,33.2914746761322,-0.11257865109116447,0.47901543821197,722895.0181583685,5.786006808280945,2.4414916038513184,110972.33305732581,833867.3512156944,1.081634521484375,0.9621285647153854,0.46361014246940613,1.8211725682020181,0.005686788920948764,0.3889742067339072,14208.896404678942,4.427711188793182,1.1181250512599945,0.5035798624157906,2.1324483349919316,0.003614201498168653,0.3626580234659925,16331.2636914129,3.9791648983955383,0.15782593190670013,1.11903977394104,7.704395635473392,211.4016011747974,12.333333333333334,9.333333333333334,309.44318378935,179.67933530424045,26.333333333333332,25.666666666666668,98.04158261455257,309.44318378935,60.29579990460218,3.0,0.14607136455098996,1404.033047483519,3.4000000000000004,0.6535181352000013,4.316751504102085,3.0,0.033041652794454666,83.10895981142903,3.6,0.24748085276703197,7.1991763070587345,3.2,0.013346613446942974,33.6997928936974,4.6000000000000005,0.032700742526626116,291.8596366562267,3.8000000000000003,0.9604362825286301,659.1106933459386,4.800000000000001,0.6714626890132507,17.514423570982032,4.0,0.5234586848818156,31.608383809367318,4.6000000000000005,0.4956601676837538,9.986696318099767,3.8000000000000003,0.14750117728839457,49.547687983334825,4.6000000000000005,0.746080853081912,744.9223541375806,1404.033047483519,0.10526315789473684,1.5,4.0,0.10526315789473684,1.0,6.0,0.0,0.10526315789473684,18142319.14640833,-0.7886283641096596,207.87680358886632,207194.6554216684,0.9606219871534806,63.068219757079945,4.595387935638428,0.26608288288116455,4263.842977820002,2.0258240699768066,0.07823718339204788,3501.818717340892,3.0989460945129395,0.09621379524469376,6369.115538973193,0.027323033660650253,0.026784056797623634,0.01796565391123295,3.33201003074646,0.1697850078344345,3107.2890788252275,1.499804973602295,0.10049865394830704,1677.3219122449473,2.9521379470825195,0.10659866780042648,9294.465945766375,0.021625196561217308,0.014363669790327549,0.01367384847253561,1156.553898994774,1824.4968050959446
NLS005,15216.771827110006,1.6306052817273375,0.19549377504736187,71650.44742158183,0.7246906541287899,8575.006106133293,1.6448584174171894,0.14659638050943613,40867.220845402764,0.5873310513794423,6641.765720976713,15216.771827110006,10.43997848033905,8.608391523361206,26.113459157943723,-0.033356188039422016,0.6503022923831955,289995.6543714766,5.5673627853393555,2.285049259662628,9.92874813079834,7.448513507843018,25.186214947700496,0.0382099909628765,0.6019091874265562,329698.29198006744,5.6732354164123535,2.2641435265541077,39702.637608590834,329698.29198006744,1.9129258394241333,0.9161516278982162,0.42150620371103287,1.7642112046480172,0.0009111419841144547,0.7146659691569207,17851.448596621096,3.4253252148628235,0.9262277185916901,0.4028553366661072,1.849979874491691,-0.0005439532115158641,0.5911791420019896,20086.56095684252,3.547343611717224,0.1518765538930893,0.9971279501914978,35.36278754406736,320.0746883382802,22.333333333333332,8.0,102.3374731866521,1134.047668026291,19.333333333333332,11.333333333333334,813.9729796880107,1134.047668026291,295.29294106751723,3.4000000000000004,0.6110971301788821,574.4241572629847,3.0,0.21290057107612792,14.14995714042903,3.2,0.11990164509694844,91.46594788073865,3.0,0.10085141516430218,5.3379080048293215,3.0,0.1321517476673421,124.47230792109211,3.4000000000000004,0.04192246468437082,96.53684500538996,3.2,0.48093122104491026,184.40079227638455,3.6,0.15583471188339232,12.664553451285492,3.6,0.07450946183886589,20.23055778251701,3.4000000000000004,0.02871231735418345,4.487580817911818,5.0,0.09412806682624321,49.212244630622564,3.2,0.03474462656494443,390.0233649866002,574.4241572629847,0.10126582278481013,2.6666666666666665,3.0,0.10126582278481013,1.1428571428571428,7.0,0.0,0.10126582278481013,707508.5081304144,0.35889778715570786,64.64606018066402,398400.0153883149,0.4489851885297435,54.588084030151336,3.5643930435180664,0.1488792896270752,4202.35323119212,3.3186569213867188,0.07569774240255356,6918.415882676592,4.324472904205322,0.09729421138763428,6365.189146560624,0.016597630456089973,0.016619525849819183,0.009592916816473007,3.4784910678863525,0.1509910374879837,5504.4900265646065,2.6214210987091064,0.09868970513343811,5943.358635346627,1.7671200037002563,0.0786881372332573,1972.1665788655012,0.01832885667681694,0.01733015663921833,0.019480673596262932,1302.1367953724866,975.0572473299653
NLS022,10270.349823525381,2.3003950166739298,0.07404710184782742,164622.75179261804,0.5105779573321342,8149.482541166808,3.1445894835828825,0.09964926838874816,134171.3164359547,0.6234531842172143,2864.7863669184126,10642.3093658053,14.03102707862854,6.016276478767395,23.647222399711605,-0.16500549506701223,0.31596056130372324,1250134.4544221703,9.414552330970764,2.813196539878845,12.750713348388672,7.152038156986237,25.208917427062993,0.07116943478611047,0.3459882863037675,1386604.2525195044,8.034621953964233,2.727438509464264,136469.79809733407,1386604.2525195044,2.693549871444702,1.0633985996246338,0.4544571414589882,1.8557375282049176,-0.0011240664565853942,0.2698758059748281,8554.767904690236,6.471630215644836,1.987546682357788,0.7558781206607819,3.1503786265850064,0.0013641311454007778,0.27661788584178454,53133.18515320888,5.87144923210144,0.9241480827331543,1.987546682357788,13.253883509026025,263.13848531692963,11.666666666666666,9.666666666666666,5.246482341234829,366.5519536687968,22.0,8.666666666666666,103.41346835186715,366.5519536687968,55.20371622543844,3.0,0.3106446693163437,185.57638484512154,5.6000000000000005,0.6514946141235577,12.66493108552903,4.800000000000001,0.2227151397781962,23.504123118389142,3.6,0.18002342943358196,13.918228372970482,3.0,0.43088838825486425,15.126714592848115,3.4000000000000004,0.0918110401613618,152.21546747327824,5.0,0.5430478944540776,174.4852221963724,3.0,0.382733742386629,12.077640479296344,3.4000000000000004,0.0500628399220815,10.241704248161495,3.6,0.20559355966121873,10.859599181192747,3.4000000000000004,0.1109463172478889,12.692819066225622,3.4000000000000004,0.12773130177941244,11.091162648749133,185.57638484512154,0.1,1.75,4.0,0.1,1.1666666666666667,6.0,0.0,0.1,2132000.98599268,0.08899335330332592,66.43354568481438,1067300.3459348609,0.34974697750830386,67.34003829956038,3.560046911239624,0.18960773944854736,4947.877807228116,1.0173200368881226,0.05948774144053459,606.2180653788926,2.5277020931243896,0.15151675045490265,9073.538821995837,0.026173193007707596,0.023434249684214592,0.008654945529997349,2.836137056350708,0.19909827411174774,3149.848136564969,1.2707819938659668,0.08315565437078476,1280.6218190783127,3.554063081741333,0.144723042845726,8467.128433034808,0.024997614324092865,0.02089160680770874,0.013890760950744152,1798.0296706631466,674.4037536994201
NLS033,2415.453878194624,1.626426380577442,0.025435643084347245,35702.29214701935,0.0807822108268737,1400.5253975126998,2.4590188800763246,0.0008308822289109126,166575.32294033037,0.008724421262741023,1014.9284806819238,2415.453878194624,5.774204254150391,4.3516042828559875,15.693729627132411,0.01637923044162406,0.8356377328317711,233259.40807343787,3.3075817227363586,1.0665204524993896,7.052420973777771,6.135087370872498,18.883784031867975,0.01861412456323293,1.2556839429003621,175747.55944601382,2.928009271621704,1.4039106965065002,57511.84862742406,233259.40807343787,1.2782167196273804,0.7848559468984604,0.30354274809360504,1.2894327893853186,0.00023010299345816023,0.7946522314852527,26601.462898923233,3.5998100638389587,0.5969599708914757,0.33191869407892227,1.213423828780651,0.001099052826543973,1.264917423113995,7286.66862730564,3.75575453042984,0.1878959760069847,0.7848559468984604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1907110214233398,0.10297198593616486,451.424065538398,0.77224200963974,0.04343092069029808,510.8691715528851,0.5704309940338135,0.0395069494843483,166.70389331324844,0.01455887220799923,0.007995794527232647,0.007509428542107344,0.6297429800033569,0.04116328805685043,91.79070848226264,0.33420199155807495,0.03354930505156517,42.395213599837476,0.4730759859085083,0.026307107880711555,169.90157631219117,0.00729305250570178,0.006492569111287594,0.007288848515599966,359.63335705613537,468.47395795304766
NLS035,4657.0129331789485,2.202586029373384,0.13442167071625588,175494.24270642648,0.7067992441356181,2012.3284669169084,3.0339428428223707,0.021462981030344958,19144.204333381538,0.37928342819213856,2644.68446626204,4657.0129331789485,13.63021183013916,7.646023988723755,26.967390370368953,-0.01754487987141016,0.3174295302396303,671704.297333415,8.40611732006073,3.1575841307640076,17.470340967178345,13.327338218688965,43.18437795639037,0.03052817458234645,0.3805705582150418,541783.018559362,7.463860273361206,2.520472288131714,136595.33011800278,675041.3230053899,3.9390981197357178,1.4157406091690063,0.7621655762195587,2.553320825099945,-0.009287178516573484,0.2993310724757098,20983.22826824325,6.8269994258880615,1.2635639011859894,0.7700344994664192,3.0374141782522197,0.003844591103534173,0.2836636991134239,11023.518925111337,6.327304720878601,0.16837915778160095,1.4238418340682983,7.21601265739339,405.21774324763777,30.666666666666668,7.0,3.291607336299762,657.5568991975715,29.333333333333332,17.666666666666668,252.33915594993374,657.5568991975715,4.764731521490648,3.0,0.0886065109078081,211.02095488972319,3.8000000000000003,0.14839695496711502,0.4457007738321508,3.4000000000000004,0.12362857447299803,22.274702641786487,3.0,0.05025124275813166,0.6490344401720137,3.2,0.32445733381550296,75.63231251360688,3.6,0.03758532927511475,8.003944585325018,3.0,0.8265222642520009,1434.6780438026747,5.6000000000000005,1.6580212667586056,0.45317933927445675,4.2,0.26222253789920186,201.1382526899217,5.6000000000000005,0.46601450861424465,0.9509896116365257,6.2,0.3816718823307826,65.54972061293034,5.800000000000001,0.12330844205457969,1223.6570889129514,1434.6780438026747,0.10344827586206896,1.5,4.0,0.10344827586206896,1.5,4.0,0.0,0.10344827586206896,20759.295653896414,1.3080500603327285,21.722916412353502,43266.966232569765,1.014518552909898,22.721306800842235,3.645836114883423,0.12059708684682846,1361.57383712748,2.1872599124908447,0.07470221072435379,4692.668650601256,1.7234810590744019,0.05198327824473381,923.6435055308845,0.01750875636935234,0.017410388216376305,0.02090929076075554,3.6264259815216064,0.2929053008556366,1835.8964200715945,1.36149001121521,0.09191189706325531,391.67491774455834,1.888342022895813,0.050629302859306335,1717.7762189903376,0.014046071097254753,0.019496293738484383,0.0162317156791687,474.32258294411463,4300.9937328566975
NLS036,2407.48539514205,1.681614466227346,0.10111910551786422,69485.7466973562,0.5855189517140389,6180.655135205053,1.724327798394524,0.05560370944440365,90268.3410147412,0.7691828310489652,3773.169740063003,6180.655135205053,15.707266330718994,12.877926111221313,37.201245880126955,-0.004292145034811373,0.4645118386179479,491563.7686844508,5.368860363960266,1.8393004834651947,10.60422945022583,8.214668273925781,26.163741850852965,0.0951371590897526,0.6295694076160913,295831.34239466075,4.675628185272217,1.5374752581119537,195732.42628979005,491563.7686844508,5.103036880493164,1.5416730046272278,0.6647314578294754,2.724271002411842,-0.001324417240049721,0.5378969896957456,59950.953614210746,4.505453526973724,1.0115400850772858,0.484403058886528,1.9385118573904032,0.000593605289026937,0.5484823046569294,15915.59013881028,4.196252524852753,0.530132919549942,1.5416730046272278,3475.397529099155,1275.433157754011,3.3333333333333335,16.666666666666668,4748.116660839527,1061.0961751214313,7.0,11.0,1272.7191317403722,4748.116660839527,1984.3983898718545,3.2,0.3099288323875251,701.6144764868316,3.0,0.12803230320651376,17.517311123724607,3.8000000000000003,0.04432510519046105,34.908690684303124,3.4000000000000004,0.08732339569383352,134.1828088623019,3.0,0.2404902957163355,50.859383891003546,3.0,0.06765537160664632,1164.7722347673196,3.4000000000000004,0.6569630514749848,391.2093827674793,3.6,0.27278398429336465,51.81970290763692,3.4000000000000004,0.09900211778209395,9.796815090947991,3.0,0.028520062561754527,83.25049420921856,3.0,0.15948278082574757,50.15183307967952,3.0,0.024230969263892146,819.626155104535,1984.3983898718545,0.109375,1.0,7.0,0.109375,1.1666666666666667,6.0,0.0,0.109375,891595.5186351547,-0.13497414548584155,89.84962921142575,345297.1817348317,0.8786412370302853,116.72622680664053,3.648813009262085,0.19748206436634064,4540.727838937822,1.3399100303649902,0.07162199914455414,674.3083713463236,2.0629019737243652,0.08522894978523254,877.1189622057668,0.015948817133903503,0.01327449455857277,0.022250764071941376,3.956192970275879,0.27830299735069275,2967.63450826916,1.401731014251709,0.06152518466114998,1135.181261760309,3.704529047012329,0.130827859044075,10149.17473070086,0.026031460613012314,0.018232150003314018,0.024142393842339516,1573.0933306686616,460.8728904139855
NLS056,5103.6234350080895,1.5339615878039283,0.05188755989074702,138583.46089717763,0.36570491939783084,19017.658815739254,1.8577772638044179,0.16070894096046684,233708.88319922556,0.4667710974812504,13914.035380731162,19017.658815739254,11.53057312965393,6.954074263572693,26.113601779937742,0.017908990169683576,0.636094844204975,808065.4272979884,4.670384049415588,2.01889431476593,9.822497010231018,5.8566734790802,21.25005450248718,0.04077558020168353,0.6291800347445107,761425.7907694427,3.961533486843109,1.4303684830665588,46639.63652854567,808065.4272979884,1.7080761194229126,1.1170219779014587,0.49691585451364517,1.9465071529150006,-0.0013522938391665165,0.6636843794899216,30368.16238377808,3.6795406341552734,0.980931743979454,0.5729999020695686,2.066496217250823,-0.0016530123807399419,0.6497348543916757,21980.536898602983,4.254755854606628,0.1360902339220047,1.1170219779014587,71.49563696106047,515.5516329318014,11.333333333333334,13.666666666666666,11.052684341172993,2736.0146325720807,18.0,10.0,2220.462999640279,2736.0146325720807,84.2654483870894,3.0,0.2261325567773923,593.4213916303511,3.4000000000000004,0.29743251026674467,2.792382500551518,3.2,0.09211744522733983,46.61672724316634,3.0,0.08317332091446346,1.8314791295962742,3.2,0.1485750284771012,43.051967773471546,4.6000000000000005,0.08449099878922053,178.92334526581868,5.2,0.3209493814540221,955.4972354819279,3.0,0.7771147662855654,1.4563955973397074,3.8000000000000003,0.10672156670843734,71.03501509022543,3.2,0.02952784827173115,5.6583298672769455,3.0,0.13493385883907474,37.15266080972319,3.4000000000000004,0.036053062998759815,362.0758438515768,955.4972354819279,0.10975609756097561,1.0,9.0,0.10975609756097561,1.2857142857142858,7.0,0.0,0.10975609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLS069,8283.783641006487,2.1602586371259194,0.0781080015003681,81444.81941597308,0.5190805695950984,10963.241948247645,1.9556402472628367,0.0662163491360843,63719.2351468541,0.3653483897447586,2679.458307241158,10963.241948247645,7.476572513580322,4.33208429813385,15.325695157051083,0.016014781525682822,0.3314193716075546,222294.0197687455,4.6974287033081055,1.7958120703697205,11.840590715408325,7.918890714645386,25.22890303134918,0.055851829754323366,0.3422034050923026,311727.60500902624,4.972687482833862,1.627714067697525,89433.58524028078,311727.60500902624,4.364018201828003,0.9396267086267471,0.43847453594207764,1.8583767086267464,-0.0026552356721631226,0.36375932792039517,20264.25744164111,3.4384308457374573,1.3768246173858643,0.7877671718597412,3.092513641715048,-0.003999253099346454,0.35891392504496145,34183.69293884917,3.781644284725189,0.4371979087591171,1.3768246173858643,2.9330033542868623,918.7587810995789,29.666666666666668,15.333333333333334,6.5873456887826,951.3719344528711,23.666666666666668,15.666666666666666,32.613153353292205,951.3719344528711,4.951408848614158,4.2,0.6412926956693848,475.0594617833485,3.6,0.2279645130972076,0.30759683371902663,3.6,0.11463341460161446,117.18300006453887,3.6,0.2841812815917028,0.2978264407024404,5.4,0.4257164456224021,65.74227819179865,3.6,0.3366962092177161,0.6546382083416964,3.2,0.12995869707165025,397.3503362174355,3.0,0.5986644981331092,0.5523239780241195,5.6000000000000005,0.27114929209618516,39.915369276901124,3.0,0.08297219114878417,0.40910048569450885,3.2,0.300525832913256,45.676736927039144,3.8000000000000003,0.10921142051075662,77.70912556591304,475.0594617833485,0.09900990099009901,1.4285714285714286,7.0,0.09900990099009901,1.25,8.0,0.0,0.09900990099009901,5561733.984220299,0.29228217169129966,104.62538375854481,847140.1523901597,0.6705628776624105,95.77691268920891,9.332220077514648,0.9151327610015869,11938.111075168525,3.477289915084839,0.25935205817222595,1837.5574504860945,2.995640993118286,0.16267350316047668,1945.846912947496,0.03298189491033554,0.04629840329289436,0.03122856467962265,16.09807586669922,1.0056253671646118,17072.169965708625,3.8661999702453613,0.20981919765472412,3574.0234828264947,2.7816929817199707,0.11463066190481186,1634.0891928976298,0.027407260611653328,0.050976574420928955,0.036642927676439285,5134.0588905401,1736.4660323404003
NLS101,3556.3423155867185,2.338665295441799,0.09384790558833626,79764.4877242728,0.5705721069127321,5579.401205598007,2.1170783831830438,0.0767367973225191,43232.888684739926,0.3660477321594953,2023.0588900112884,5579.401205598007,13.39095664024353,9.979568004608154,32.43802151679992,-0.047484358557238385,0.3548301423620237,339483.68155232916,4.984264850616455,1.514834612607956,15.441224336624146,12.58992862701416,39.42010142803191,-0.01712009628049652,0.4252984794672208,349576.7484780988,5.38925313949585,1.938890516757965,32843.42663073238,360951.9283305801,3.105184555053711,0.8766006380319595,0.3844408914446831,1.6328875765204425,0.0016350586775697536,0.3072526793200939,12125.462791451155,4.195743560791016,0.8320706635713577,0.3736734539270401,1.371200059354305,-0.004322248596886272,0.36100409723226756,9911.734865951272,4.553554356098175,0.076520174741745,0.8925957381725311,1.3666945729190798,172.79376059867045,31.333333333333332,6.0,1.144125907153957,580.5463366826077,32.666666666666664,9.666666666666666,407.75257608393724,580.5463366826077,0.12003529104263225,4.2,0.21016953519148351,116.9982540185239,3.2,0.20648800365337305,0.04601394571461639,3.8000000000000003,0.279516833929048,50.53696537291543,3.2,0.11597040429812998,0.15979259346715605,4.2,0.5675050270132832,11.317799355958625,3.0,0.006231240825673792,0.24396160793703522,3.6,0.41824229370755256,306.3732427457126,3.2,0.21410431236469532,0.09074720051711625,4.6000000000000005,0.6957125654115901,52.98463344936283,3.6,0.054323260709111226,0.09050192358844497,5.2,0.5967005745821451,12.103893912722118,3.2,0.01183464441817274,189.37498872718874,306.3732427457126,0.1,3.0,3.0,0.1,1.8,5.0,0.0,0.1,187280.64740854764,-0.8047691029666886,39.89567832946773,1221657.921939824,-0.8884679583727988,65.10245819091783,3.167135000228882,0.13071052730083466,1257.9169387043896,1.0978130102157593,0.038570865988731384,326.8058648221457,1.0768450498580933,0.029464734718203545,600.5387637878363,0.012675052508711815,0.010741093195974827,0.02334674820303917,2.793134927749634,0.08954442292451859,2622.0560830167306,0.8850510120391846,0.029595186933875084,201.61757328859923,1.321923017501831,0.03074006550014019,1048.5254371742133,0.011110899969935417,0.013910038396716118,0.012721674516797066,1364.139144312341,125.18829153354645
NLS102,1271.5726012180169,1.9287206757154922,0.06013394347392022,29609.538869182492,0.3866815671324729,1848.1196555626461,1.778162089198635,0.11189641095697879,74604.55548221152,0.5009091544896365,576.5470543446291,1848.1196555626461,11.551590919494629,7.878809571266174,26.60236196517944,-0.023140607451990577,0.3752792928101698,451445.01631271606,5.481180906295776,2.243202358484268,11.687217235565186,7.77515983581543,26.137027883529658,-0.052298845888126784,0.3716265976046933,330509.1977802079,5.782846927642822,1.9954771101474762,120935.81853250819,451445.01631271606,0.6346268653869629,1.084925964474678,0.5005926266312599,2.015244437754154,0.009574988518820327,0.3572235641050088,17441.244748939735,4.306770205497742,1.546755313873291,0.5523059442639351,2.52283449023962,-0.0021294006369765453,0.36546167794404055,36118.851001167146,4.390346944332123,0.461829349398613,1.546755313873291,4.212788214690876,51.62112574356555,39.333333333333336,9.666666666666666,11.925213033815151,906.1710678169081,19.333333333333332,5.0,854.5499420733425,906.1710678169081,2.9117774518283484,3.4000000000000004,0.6119998529874847,28.68797542781588,3.8000000000000003,0.32337154119427636,0.3121006335759088,3.2,0.4245910394678044,4.880158580429218,3.8000000000000003,0.1707851307946409,0.3423482781204592,4.6000000000000005,0.5628654282756125,11.180610851550059,3.4000000000000004,0.21483122768293372,19.914678450342556,4.2,1.1752206558622391,180.97876647359087,5.6000000000000005,0.7842999519329886,0.18796911018775928,4.6000000000000005,0.41225486226226804,26.37660644147226,4.2,0.09366842824816271,1.0239706879182242,5.6000000000000005,1.0879892465949519,10.73159358184428,3.0,0.055573604972563355,152.290791045775,180.97876647359087,0.10256410256410256,1.6,5.0,0.10256410256410256,1.0,8.0,0.0,0.10256410256410256,942706.9750211835,0.5503329103064635,121.65842285156239,643222.8068031506,1.3848847123037618,134.80149536132748,2.7111260890960693,0.11245120316743851,1883.9958780714817,2.2918410301208496,0.04019918665289879,1555.7399383241116,1.1393150091171265,0.051960352808237076,976.1726443842236,0.015775209292769432,0.011747336015105247,0.006220589857548475,3.9794108867645264,0.11158143728971481,5394.906439348797,1.4941409826278687,0.056358080357313156,1082.4030675606737,2.9337170124053955,0.07663912326097488,5232.883687733611,0.01855800859630108,0.01074429415166378,0.01547407079488039,3510.9105612773155,473.3368707634379
