feature_set,extras,n_extras,seed,ccc,mae,r,wall_time_s
B0_check_no_extras,(no extras),0,42,0.4850351993450772,7.927541558187723,0.502797728489623,12.8
B0_iter5_canonical,(no extras),0,7,0.5226819597639069,7.654838978019953,0.5421507426554548,12.9
B0_check_no_extras,(no extras),0,7,0.5226819597639069,7.654838978019953,0.5421507426554548,13.0
B0_iter5_canonical,(no extras),0,42,0.4850351993450772,7.927541558187723,0.502797728489623,13.0
B1_plus_ledd_total,ledd_total,1,42,0.46488409394725716,7.905683547401869,0.48181263670840035,13.1
B2_plus_ledd_split,ledd_levodopa+ledd_dopamine_agonist,2,42,0.43842521637094883,8.442608681637546,0.4532411290895969,13.2
B0_iter5_canonical,(no extras),0,1337,0.44915473418240537,8.112130093126746,0.4795652569244015,13.6
B0_check_no_extras,(no extras),0,1337,0.44915473418240537,8.112130093126746,0.4795652569244015,13.6
B1_plus_ledd_total,ledd_total,1,1337,0.41745227114599837,8.499290975616592,0.43914690746397406,13.7
B1_plus_ledd_total,ledd_total,1,7,0.4699479227747008,7.883518607097964,0.48321775338802414,13.7
B2_plus_ledd_split,ledd_levodopa+ledd_dopamine_agonist,2,1337,0.4545068148107846,8.063798795910332,0.47459200013651387,13.8
B3_plus_ledd_other,ledd_other,1,42,0.43155888069868586,8.601608492858295,0.4358697789065768,12.5
B2_plus_ledd_split,ledd_levodopa+ledd_dopamine_agonist,2,7,0.4947165055435691,7.785563838177529,0.5152750278048214,12.8
B3_plus_ledd_other,ledd_other,1,7,0.3234742422762727,9.007891312160101,0.36465524634896246,12.8
B3_plus_ledd_other,ledd_other,1,1337,0.45276960186611476,8.415782534143434,0.45424581453673113,13.1
B4_plus_part1_sum,part1_sum,1,1337,0.4137658292388235,8.491233416319496,0.43651231860860923,12.9
B4_plus_part1_sum,part1_sum,1,42,0.5002096033798488,7.502360114294996,0.5189459131759203,13.0
B4_plus_part1_sum,part1_sum,1,7,0.4337935972741998,8.269232250943157,0.4543227022413696,12.9
B5_plus_part1_cognitive,part1_cognitive,1,7,0.47617428095388475,8.124992116570095,0.4953661294810699,13.0
B6_plus_part1_hallucinations,part1_hallucinations,1,42,0.4603635569180566,8.206159788769611,0.4849820785361518,12.9
B5_plus_part1_cognitive,part1_cognitive,1,1337,0.44991617921424654,8.186501216474882,0.47036706178174287,13.1
B5_plus_part1_cognitive,part1_cognitive,1,42,0.5233737502699854,7.615007211039232,0.5455361964336725,13.3
B6_plus_part1_hallucinations,part1_hallucinations,1,1337,0.4472885151701325,8.07111507162391,0.4704874137834345,12.7
B6_plus_part1_hallucinations,part1_hallucinations,1,7,0.4982281790465779,7.810797820413412,0.5139304155930671,12.7
B7_plus_onoff,hours_since_last_dose,1,42,0.487151074033772,7.999678419513404,0.5054031288540087,12.9
B7_plus_onoff,hours_since_last_dose,1,7,0.4795776386523522,7.982612714994571,0.4931513642201959,12.7
B7_plus_onoff,hours_since_last_dose,1,1337,0.41655682370686203,8.491658310923622,0.4383545632620864,12.8
B8_plus_assistive,assistive_device_yn,1,42,0.42344675265501314,8.295402641478029,0.4408241157116398,13.1
B8_plus_assistive,assistive_device_yn,1,1337,0.43590090962544786,8.34117748150636,0.4531124333400298,13.1
B9_plus_ptot,pt_ot_status_yn,1,42,0.46642121171558615,8.030910946269572,0.48555056398981433,12.8
B8_plus_assistive,assistive_device_yn,1,7,0.48464293578810796,8.190185728537838,0.49982002952352833,13.1
B9_plus_ptot,pt_ot_status_yn,1,1337,0.39114876756415895,8.70171297437878,0.4102175079236186,13.2
B9_plus_ptot,pt_ot_status_yn,1,7,0.475326976236407,7.89012389899865,0.49198363907417253,13.0
B10_plus_race,race_white,1,42,0.40571872186952257,8.421715880420725,0.4198120487012903,12.5
B10_plus_race,race_white,1,1337,0.45797029312237003,8.14394039582823,0.4765546902817692,12.8
B11_plus_days_p3,days_since_part3,1,42,0.48581160821360614,7.793854881828799,0.5020582000574271,12.6
B10_plus_race,race_white,1,7,0.4696712894353433,7.97974313782139,0.48697267774769915,12.8
B11_plus_days_p3,days_since_part3,1,1337,0.4340771656745311,8.285134636505722,0.45634094047608864,13.0
B11_plus_days_p3,days_since_part3,1,7,0.48794794212875553,7.61172715477065,0.5067408285785963,13.0
C1_ledd_plus_part1,ledd_total+part1_sum,2,42,0.45033160171931663,8.05745106580724,0.46721013386801535,12.8
C2_ledd_plus_onoff,ledd_total+hours_since_last_dose,2,42,0.43979533368689533,8.120764992810566,0.45634549797895724,12.9
C1_ledd_plus_part1,ledd_total+part1_sum,2,1337,0.4492971827183162,8.077950681520248,0.47314460581754825,13.2
C1_ledd_plus_part1,ledd_total+part1_sum,2,7,0.4457369901955509,8.35575555321767,0.45705864728062406,13.0
C2_ledd_plus_onoff,ledd_total+hours_since_last_dose,2,1337,0.4139276805109347,8.606124540146643,0.4359693418452824,13.3
C2_ledd_plus_onoff,ledd_total+hours_since_last_dose,2,7,0.4652321469706625,8.009600736190965,0.47634549688335,12.6
C3_part1_plus_onoff,part1_sum+hours_since_last_dose,2,42,0.4824624913870453,7.996458600810085,0.49733865164824975,12.5
C3_part1_plus_onoff,part1_sum+hours_since_last_dose,2,1337,0.388609453799015,8.462595172833087,0.4118142011098224,12.8
C3_part1_plus_onoff,part1_sum+hours_since_last_dose,2,7,0.42143905434534645,8.075301132577845,0.43796813771878734,13.0
C4_ledd_plus_assistive,ledd_total+assistive_device_yn,2,42,0.3318927417272054,8.728022383200571,0.3433880964406698,12.7
C4_ledd_plus_assistive,ledd_total+assistive_device_yn,2,7,0.4140141598940994,8.682253698329674,0.4192513824029911,12.9
D1_ledd_part1_onoff,ledd_total+part1_sum+hours_since_last_dose,3,42,0.47074900810037335,7.928560961514532,0.48634385713613687,12.8
C4_ledd_plus_assistive,ledd_total+assistive_device_yn,2,1337,0.4184994994572513,8.275952594634123,0.4371721174463073,13.5
D1_ledd_part1_onoff,ledd_total+part1_sum+hours_since_last_dose,3,7,0.44735918214785614,8.113106459741427,0.45773128634219545,13.1
D1_ledd_part1_onoff,ledd_total+part1_sum+hours_since_last_dose,3,1337,0.39920232183955356,8.684677173571307,0.41705599606212024,13.2
D2_ledd_part1_onoff_assist,ledd_total+part1_sum+hours_since_last_dose+assistive_device_yn,4,42,0.4174588771336402,8.123935236954239,0.43297769865038,13.0
D2_ledd_part1_onoff_assist,ledd_total+part1_sum+hours_since_last_dose+assistive_device_yn,4,1337,0.4313781623877996,8.428812770442674,0.44813398906657104,12.0
D2_ledd_part1_onoff_assist,ledd_total+part1_sum+hours_since_last_dose+assistive_device_yn,4,7,0.39222443661435613,8.607967719105568,0.3996275011022635,12.2
