weight_scheme,seed,feature_set,alpha,enable_ccc,ccc,mae,r,slope,q1_residual,q2_residual,q3_residual,q4_residual,wall_time_s
abs_z,7,A3_tier1,1.0,True,0.412,8.323,0.4266,0.3274,9.278,0.031,-1.321,-9.756,12.6
abs_z,42,A3_tier1,1.0,True,0.3946,8.704,0.4035,0.3268,11.642,-1.43,-2.249,-8.209,12.2
abs_z,1337,A3_tier1,1.0,True,0.3112,9.648,0.3176,0.2607,10.357,0.852,-4.055,-10.566,12.4
inv_density,7,A3_tier1,1.0,True,0.412,8.323,0.4266,0.3274,9.278,0.031,-1.321,-9.756,12.6
inv_density,42,A3_tier1,1.0,True,0.3946,8.704,0.4035,0.3268,11.642,-1.43,-2.249,-8.209,12.3
inv_density,1337,A3_tier1,1.0,True,0.3112,9.648,0.3176,0.2607,10.357,0.852,-4.055,-10.566,12.2
quartile_balanced,7,A3_tier1,1.0,True,0.412,8.323,0.4266,0.3274,9.278,0.031,-1.321,-9.756,11.3
quartile_balanced,42,A3_tier1,1.0,True,0.3946,8.704,0.4035,0.3268,11.642,-1.43,-2.249,-8.209,10.9
quartile_balanced,1337,A3_tier1,1.0,True,0.3112,9.648,0.3176,0.2607,10.357,0.852,-4.055,-10.566,11.3
tail_focused,7,A3_tier1,1.0,True,0.412,8.323,0.4266,0.3274,9.278,0.031,-1.321,-9.756,11.3
tail_focused,42,A3_tier1,1.0,True,0.3946,8.704,0.4035,0.3268,11.642,-1.43,-2.249,-8.209,12.4
tail_focused,1337,A3_tier1,1.0,True,0.3112,9.648,0.3176,0.2607,10.357,0.852,-4.055,-10.566,12.6
uniform,7,A3_tier1,1.0,True,0.412,8.323,0.4266,0.3274,9.278,0.031,-1.321,-9.756,12.4
uniform,42,A3_tier1,1.0,True,0.3946,8.704,0.4035,0.3268,11.642,-1.43,-2.249,-8.209,12.3
uniform,1337,A3_tier1,1.0,True,0.3112,9.648,0.3176,0.2607,10.357,0.852,-4.055,-10.566,12.4
