variant,seed,ccc_v,ccc_iter5_direct,delta,mae_v,r_v,wall_time_s
V1_random,42,0.7049,0.6579,0.047,1.972,0.7175,30.2
V1_random,1337,0.7061,0.6773,0.0288,1.938,0.718,29.9
V1_random,7,0.7146,0.6364,0.0782,1.877,0.7323,30.1
V2_clinical,42,0.7114,0.6579,0.0535,1.948,0.7247,30.0
V2_clinical,1337,0.7061,0.6773,0.0288,1.931,0.7179,30.4
V2_clinical,7,0.7145,0.6364,0.0781,1.877,0.7322,30.3
V3_correlation,42,0.7068,0.6579,0.0489,1.962,0.7191,29.7
V3_correlation,1337,0.7037,0.6773,0.0264,1.942,0.717,30.3
V3_correlation,7,0.7195,0.6364,0.083,1.867,0.7366,29.8
V4_catboost,42,0.7042,0.6579,0.0463,1.706,0.7093,278.2
V4_catboost,1337,0.7019,0.6773,0.0246,1.73,0.7048,251.5
V4_catboost,7,0.7085,0.6364,0.072,1.709,0.7137,280.0
