cohort,stage2_policy,direction,seed,n_train,n_test,ccc,mae,r,cal_slope
prorate_le3,stage2_current,NLS_to_WPD,42,67,27,0.1585,6.9738,0.163,0.1473
prorate_le3,stage2_current,WPD_to_NLS,42,27,67,0.0923,10.5772,0.1521,0.0707
prorate_le3,stage2_current,NLS_to_WPD,1337,67,27,0.3195,6.2146,0.3243,0.2985
prorate_le3,stage2_current,WPD_to_NLS,1337,27,67,0.11,10.4527,0.1706,0.081
prorate_le3,stage2_current,NLS_to_WPD,7,67,27,0.1235,6.9546,0.1244,0.1103
prorate_le3,stage2_current,WPD_to_NLS,7,27,67,0.0597,10.7983,0.0961,0.0454
prorate_le3,stage2_no_cv,NLS_to_WPD,42,67,27,0.1882,6.2777,0.1947,0.1503
prorate_le3,stage2_no_cv,WPD_to_NLS,42,27,67,0.09,10.4269,0.1399,0.0661
prorate_le3,stage2_no_cv,NLS_to_WPD,1337,67,27,0.1726,6.3122,0.18,0.1397
prorate_le3,stage2_no_cv,WPD_to_NLS,1337,27,67,0.1191,10.4856,0.1869,0.0902
prorate_le3,stage2_no_cv,NLS_to_WPD,7,67,27,0.0917,6.8313,0.0968,0.0743
prorate_le3,stage2_no_cv,WPD_to_NLS,7,27,67,0.089,10.4715,0.1342,0.0654
prorate_le7,stage2_current,NLS_to_WPD,42,68,27,0.2911,5.6427,0.3003,0.2443
prorate_le7,stage2_current,WPD_to_NLS,42,27,68,0.0911,10.5853,0.1513,0.0702
prorate_le7,stage2_current,NLS_to_WPD,1337,68,27,0.3327,5.8848,0.3445,0.31
prorate_le7,stage2_current,WPD_to_NLS,1337,27,68,0.1098,10.4317,0.1712,0.0813
prorate_le7,stage2_current,NLS_to_WPD,7,68,27,0.2592,6.4787,0.2605,0.2504
prorate_le7,stage2_current,WPD_to_NLS,7,27,68,0.0595,10.7864,0.0965,0.0455
prorate_le7,stage2_no_cv,NLS_to_WPD,42,68,27,0.2444,6.1464,0.253,0.2142
prorate_le7,stage2_no_cv,WPD_to_NLS,42,27,68,0.089,10.4237,0.1393,0.0658
prorate_le7,stage2_no_cv,NLS_to_WPD,1337,68,27,0.3096,5.7474,0.3171,0.2674
prorate_le7,stage2_no_cv,WPD_to_NLS,1337,27,68,0.1193,10.4594,0.1882,0.0907
prorate_le7,stage2_no_cv,NLS_to_WPD,7,68,27,0.2934,6.1119,0.3019,0.2755
prorate_le7,stage2_no_cv,WPD_to_NLS,7,27,68,0.0895,10.4359,0.1356,0.0661
