cohort,stage2_policy,direction,seed,n_train,n_test,ccc,mae,r,cal_slope
drop_allmissing_validrange,stage2_current,NLS_to_WPD,42,68,27,0.2431,5.8788,0.2463,0.212
drop_allmissing_validrange,stage2_current,WPD_to_NLS,42,27,68,0.1027,10.079,0.1615,0.0776
drop_allmissing_validrange,stage2_current,NLS_to_WPD,1337,68,27,0.1703,6.541,0.1751,0.1422
drop_allmissing_validrange,stage2_current,WPD_to_NLS,1337,27,68,0.1094,10.1965,0.1705,0.0836
drop_allmissing_validrange,stage2_current,NLS_to_WPD,7,68,27,0.1677,6.9638,0.1677,0.1649
drop_allmissing_validrange,stage2_current,WPD_to_NLS,7,27,68,0.1056,10.2733,0.1607,0.0822
drop_allmissing_validrange,stage2_no_cv,NLS_to_WPD,42,68,27,0.2273,5.8847,0.2436,0.1915
drop_allmissing_validrange,stage2_no_cv,WPD_to_NLS,42,27,68,0.1067,10.0747,0.1716,0.0806
drop_allmissing_validrange,stage2_no_cv,NLS_to_WPD,1337,68,27,0.1923,6.7015,0.1939,0.1707
drop_allmissing_validrange,stage2_no_cv,WPD_to_NLS,1337,27,68,0.1257,10.1022,0.1962,0.0952
drop_allmissing_validrange,stage2_no_cv,NLS_to_WPD,7,68,27,0.2178,6.7602,0.2233,0.2099
drop_allmissing_validrange,stage2_no_cv,WPD_to_NLS,7,27,68,0.109,10.315,0.1722,0.0862
complete33_validrange,stage2_current,NLS_to_WPD,42,63,25,0.1245,6.5179,0.1355,0.1039
complete33_validrange,stage2_current,WPD_to_NLS,42,25,63,-0.0171,10.6584,-0.0267,-0.0121
complete33_validrange,stage2_current,NLS_to_WPD,1337,63,25,0.2861,5.7366,0.3133,0.2227
complete33_validrange,stage2_current,WPD_to_NLS,1337,25,63,-0.0122,10.8446,-0.0193,-0.0087
complete33_validrange,stage2_current,NLS_to_WPD,7,63,25,0.2869,6.0894,0.2999,0.2266
complete33_validrange,stage2_current,WPD_to_NLS,7,25,63,-0.0317,10.6001,-0.0455,-0.0213
complete33_validrange,stage2_no_cv,NLS_to_WPD,42,63,25,0.2009,6.414,0.2494,0.1741
complete33_validrange,stage2_no_cv,WPD_to_NLS,42,25,63,-0.0042,10.5121,-0.0067,-0.003
complete33_validrange,stage2_no_cv,NLS_to_WPD,1337,63,25,0.2348,6.6458,0.2726,0.223
complete33_validrange,stage2_no_cv,WPD_to_NLS,1337,25,63,0.0165,10.6046,0.0266,0.0119
complete33_validrange,stage2_no_cv,NLS_to_WPD,7,63,25,0.2724,6.4529,0.3257,0.2625
complete33_validrange,stage2_no_cv,WPD_to_NLS,7,25,63,-0.025,10.5622,-0.0374,-0.0168
