seed,outer_fold,n_train,n_test,alpha,inner_oof_ccc,clinical_inner_oof_ccc,imu_inner_oof_ccc,test_sids
42,1,76,19,0.68,0.33493372233825414,0.3261771551913902,0.2931997950292279,"NLS142,NLS130,NLS197,NLS036,WPD002,WPD024,NLS160,NLS190,WPD025,WPD003,NLS127,NLS186,NLS169,WPD009,WPD026,NLS177,WPD008,NLS195,NLS210"
42,2,76,19,0.58,0.37726909363220273,0.3633255379093835,0.34814166854445855,"NLS175,WPD020,NLS184,NLS183,NLS192,WPD023,WPD005,WPD027,NLS185,NLS167,NLS153,WPD019,NLS208,NLS173,NLS022,NLS056,NLS209,WPD014,NLS158"
42,3,76,19,0.89,0.2846978407991463,0.28338046286134483,0.19518867412473398,"NLS157,WPD022,NLS121,NLS150,NLS143,WPD018,NLS163,WPD010,NLS176,NLS135,NLS149,NLS172,NLS182,NLS191,NLS165,NLS154,NLS124,NLS002,NLS141"
42,4,76,19,1.0,0.14959247447170085,0.14959247447170085,0.10269306217842038,"NLS198,NLS170,WPD015,WPD016,NLS035,WPD021,WPD004,WPD017,WPD029,NLS211,NLS201,NLS174,NLS161,NLS159,NLS033,NLS147,WPD011,NLS140,NLS187"
42,5,76,19,1.0,0.2545531176514054,0.2545531176514054,0.1956067231271705,"NLS179,NLS146,NLS102,NLS189,NLS144,WPD012,NLS069,NLS164,NLS155,NLS166,NLS152,NLS148,WPD006,NLS101,NLS162,NLS139,WPD007,WPD001,NLS196"
1337,1,76,19,0.26,0.29955265877985043,0.25511640685714965,0.29445377663546957,"NLS175,NLS197,NLS184,NLS183,WPD018,NLS176,WPD023,NLS198,WPD015,NLS167,NLS186,NLS035,NLS211,NLS201,WPD008,NLS209,NLS162,NLS147,WPD014"
1337,2,76,19,0.4,0.30346278454433767,0.268071644875556,0.28601451101346714,"NLS142,NLS146,NLS036,NLS143,NLS192,NLS144,NLS190,WPD005,WPD027,NLS172,NLS164,WPD003,NLS169,NLS165,NLS161,NLS173,WPD006,NLS124,WPD007"
1337,3,76,19,1.0,0.38704388319924443,0.38704388319924443,0.15935053384353481,"NLS157,NLS121,NLS102,WPD002,NLS160,NLS069,NLS149,NLS185,NLS182,NLS170,NLS127,NLS153,WPD017,NLS148,NLS154,NLS101,NLS022,NLS195,NLS002"
1337,4,76,19,0.0,0.2908416861805153,0.19126612037446006,0.2908416861805153,"NLS130,NLS150,NLS163,NLS189,WPD016,WPD021,NLS155,NLS166,NLS191,WPD009,WPD029,NLS152,NLS159,NLS208,WPD026,NLS033,NLS056,NLS141,NLS140"
1337,5,76,19,0.0,0.2618791069962087,0.15235351351723275,0.2618791069962087,"NLS179,WPD022,WPD020,WPD024,WPD012,WPD010,NLS135,WPD025,WPD004,NLS174,WPD019,NLS177,NLS139,NLS210,WPD001,WPD011,NLS158,NLS196,NLS187"
7,1,76,19,1.0,0.3210067768706255,0.3210067768706255,0.09858320447620147,"NLS184,NLS036,NLS143,NLS183,WPD002,NLS189,WPD024,NLS160,WPD027,NLS172,NLS164,WPD003,NLS155,NLS211,NLS201,NLS165,NLS161,NLS101,NLS158"
7,2,76,19,0.0,0.32143443993904286,0.21301705317810168,0.32143443993904286,"NLS146,NLS175,WPD018,NLS144,NLS135,WPD023,NLS198,NLS170,WPD015,NLS186,NLS153,WPD021,NLS166,WPD019,WPD006,NLS139,NLS210,NLS147,NLS196"
7,3,76,19,0.15,0.3647778354928062,0.29121517080340736,0.3625701214765793,"NLS179,NLS157,NLS197,NLS192,NLS190,NLS069,WPD005,NLS185,WPD016,WPD004,NLS159,NLS173,WPD008,NLS209,NLS162,NLS141,WPD007,WPD014,NLS187"
7,4,76,19,1.0,0.23917531174894938,0.23917531174894938,0.13357191071027905,"NLS130,WPD022,WPD020,NLS163,WPD010,NLS149,NLS182,NLS191,WPD009,WPD017,NLS152,NLS174,NLS148,NLS154,NLS022,NLS124,NLS056,NLS195,WPD001"
7,5,76,19,0.8,0.20803706440947817,0.20501831008305887,0.15954162300778255,"NLS142,NLS121,NLS150,NLS102,WPD012,NLS176,WPD025,NLS127,NLS167,NLS169,NLS035,WPD029,NLS208,WPD026,NLS177,NLS033,NLS002,WPD011,NLS140"
