sid,mah_Balance_Forehead,mah_Balance_L_Ankle,mah_Balance_L_DorsalFoot,mah_Balance_L_Shank,mah_Balance_L_Thigh,mah_Balance_L_Wrist,mah_Balance_LowerBack,mah_Balance_R_Ankle,mah_Balance_R_DorsalFoot,mah_Balance_R_Shank,mah_Balance_R_Thigh,mah_Balance_R_Wrist,mah_Balance_Xiphoid,mah_Balance_global,mah_HurriedPace_Forehead,mah_HurriedPace_L_Ankle,mah_HurriedPace_L_DorsalFoot,mah_HurriedPace_L_Shank,mah_HurriedPace_L_Thigh,mah_HurriedPace_L_Wrist,mah_HurriedPace_LowerBack,mah_HurriedPace_R_Ankle,mah_HurriedPace_R_DorsalFoot,mah_HurriedPace_R_Shank,mah_HurriedPace_R_Thigh,mah_HurriedPace_R_Wrist,mah_HurriedPace_Xiphoid,mah_HurriedPace_global,mah_SelfPace_Forehead,mah_SelfPace_L_Ankle,mah_SelfPace_L_DorsalFoot,mah_SelfPace_L_Shank,mah_SelfPace_L_Thigh,mah_SelfPace_L_Wrist,mah_SelfPace_LowerBack,mah_SelfPace_R_Ankle,mah_SelfPace_R_DorsalFoot,mah_SelfPace_R_Shank,mah_SelfPace_R_Thigh,mah_SelfPace_R_Wrist,mah_SelfPace_Xiphoid,mah_SelfPace_global,mah_TUG_Forehead,mah_TUG_L_Ankle,mah_TUG_L_DorsalFoot,mah_TUG_L_Shank,mah_TUG_L_Thigh,mah_TUG_L_Wrist,mah_TUG_LowerBack,mah_TUG_R_Ankle,mah_TUG_R_DorsalFoot,mah_TUG_R_Shank,mah_TUG_R_Thigh,mah_TUG_R_Wrist,mah_TUG_Xiphoid,mah_TUG_global,mah_TandemGait_Forehead,mah_TandemGait_L_Ankle,mah_TandemGait_L_DorsalFoot,mah_TandemGait_L_Shank,mah_TandemGait_L_Thigh,mah_TandemGait_L_Wrist,mah_TandemGait_LowerBack,mah_TandemGait_R_Ankle,mah_TandemGait_R_DorsalFoot,mah_TandemGait_R_Shank,mah_TandemGait_R_Thigh,mah_TandemGait_R_Wrist,mah_TandemGait_Xiphoid,mah_TandemGait_global,mah_global_mean,mah_global_max,mah_global_sum,mah_sensor_L_Wrist_mean,mah_sensor_L_Wrist_max,mah_sensor_R_Wrist_mean,mah_sensor_R_Wrist_max,mah_sensor_LowerBack_mean,mah_sensor_LowerBack_max,mah_sensor_L_Thigh_mean,mah_sensor_L_Thigh_max,mah_sensor_R_Thigh_mean,mah_sensor_R_Thigh_max,mah_sensor_L_Shank_mean,mah_sensor_L_Shank_max,mah_sensor_R_Shank_mean,mah_sensor_R_Shank_max,mah_sensor_L_DorsalFoot_mean,mah_sensor_L_DorsalFoot_max,mah_sensor_R_DorsalFoot_mean,mah_sensor_R_DorsalFoot_max,mah_sensor_L_Ankle_mean,mah_sensor_L_Ankle_max,mah_sensor_R_Ankle_mean,mah_sensor_R_Ankle_max,mah_sensor_Xiphoid_mean,mah_sensor_Xiphoid_max,mah_sensor_Forehead_mean,mah_sensor_Forehead_max
HC100,3.947606608484007,3.4021210345766857,2.603027019961327,3.3390238356931756,7.120457452375864,2.727773426986247,7.380490131316096,4.88008182993948,4.4049545001264026,3.104116980232407,4.000573386553953,4.510550151572988,5.677956511708688,8.71541591329394,5.135673708215935,15.135276424143992,3.571327950494252,5.751155464454759,4.012603857929463,3.2779947005821475,3.3908054197084954,3.8543078829051676,5.54733727555957,6.141775953857315,3.843972851470222,4.395459539775388,9.195605404472186,7.863250806320237,3.803506132277724,4.853212032767056,79.83918971677454,11.525305347435486,3.6488396053073116,20.251734343759672,5.190242316332532,2.977099043632239,2.9452040841406317,2.6418483473078958,6.4476603860971835,10.439020704931652,7.03180641965238,8.815237391746395,2.6288572559677332,5.124036369026875,9.515993636321086,3.559208142379414,3.3326434198652097,6.119356329386977,2.644698284569934,3.2721835815950557,22.744846721681718,21.472957382314178,3.2407925018267094,18.169918397531347,2.792235545773601,8.208106756038616,95.29051046389898,5.834824576901597,5.3138393159889405,6.685880067677802,3.115535606298702,46.69675773961031,3.986949033097745,4.624526177909287,3.7940584729496747,4.178238742544092,7.098788911415413,3.7199153737083277,104.38205760801536,8.150649295961667,8.350532032672172,8.815237391746395,41.75266016336086,15.814723308065073,46.69675773961031,8.246972833503941,18.169918397531347,4.51863703700496,7.380490131316096,4.24601598835531,7.120457452375864,4.926357607472696,7.098788911415413,6.1721145715281285,11.525305347435486,7.507787481251176,21.472957382314178,20.16867552790803,79.83918971677454,7.887280210891598,22.744846721681718,6.869894087483241,15.135276424143992,3.921639703196246,4.88008182993948,25.81593229792444,104.38205760801536,22.161230833768876,95.29051046389898
HC101,3.492037813111992,2.3621086472313864,2.199063011895621,2.997295127624503,3.690131728408441,4.796013407822806,3.857606714047051,4.8543277874955795,3.6140077820387932,4.101184686133685,3.8982421811570993,9.306187635730653,5.317074160337314,7.1611455744493995,4.602299563904619,5.3210193844142255,3.1387615604325028,7.134315286782352,2.970945706134654,1.79828957109601,5.743211626926328,3.798189741426489,3.5266768724329367,5.264537510672762,2.5367040428001575,4.663970361546607,7.447212224522189,6.731252491330797,3.568190746345007,3.303505515784951,8.547632515979847,3.3493797741533418,2.7980598045873357,3.1432542835653967,10.898117216264966,3.3512352137148573,2.352116483283953,3.1095570863423836,3.748043849443168,6.539459795200403,3.9551380496114064,7.09424538688234,3.309052005062803,4.480274590526471,9.588390663077409,7.061190096087252,3.0371097400288893,6.811846528241012,3.740072920047981,2.9274436034569256,7.641297055616145,5.242052872251669,4.254700595391958,18.55824613081773,3.174859370783614,6.505597987936494,8.680353235255966,3.6120558453544613,4.658589438766452,3.497081572427293,2.9041592968793917,9.9510067579766,3.8311104263659503,4.365834457279291,3.6927782156025044,2.9953496720558475,3.2833224895617343,6.901381355142335,11.951902749536224,7.389307987552521,6.97630988563031,7.389307987552521,34.88154942815155,5.300082109740365,9.9510067579766,9.193849055687545,18.55824613081773,5.614023780730456,10.898117216264966,3.0800812552077423,3.690131728408441,3.544202631670823,4.254700595391958,4.807852371414948,7.134315286782352,4.142536365491269,5.264537510672762,5.626487438030366,9.588390663077409,4.1653752817948675,7.641297055616145,3.8157927966622993,5.3210193844142255,3.8594061606746286,4.8543277874955795,6.36923731095815,11.951902749536224,4.730386672736077,8.680353235255966
HC102,2.97713098910456,4.426853295374123,3.535721368077092,3.4574993962286884,3.9495454341354725,4.302950035537822,3.984850474425439,4.3815278682368675,5.36698318272543,3.547451325782148,4.2473962524946955,3.953756551990333,5.6444315008883565,6.72069377702978,4.63426188280676,3.7743796542672183,4.6492422459028555,8.059724082570687,2.9935374077014596,3.3118335388636044,4.49277373683198,8.00393617679762,4.761551778138159,6.842812033063529,2.471442654801607,7.222948429027812,7.427008315359094,7.729824539285567,9.379859404468448,4.209618347249856,9.75019853116755,9.483993198637211,3.3019168460671207,2.301096444097935,3.6511777934314535,4.542988895544882,4.615703746139127,6.382989101478468,3.419844107282079,9.476878582812533,3.0074053146104234,8.474400229307745,2.1065517253145694,4.6621591589004705,39.94965869484221,6.723447315687556,3.3656318409806563,6.140406419527843,3.8400366568641293,6.49606986232092,8.279618318789797,7.181125376627625,3.983733554732603,29.823423323710877,3.5290743051618914,7.6976804922073185,11.557641165840534,5.018276779879035,5.875499054446206,4.0431071310256845,4.176727959657787,16.94236312589104,5.156963469310182,4.484433280462127,4.290854512034459,3.4769846716929895,4.38801824615189,2.9868171146148357,10.756392222012922,7.5110706151257105,7.626733930591224,8.474400229307745,38.13366965295612,6.599729912783649,16.94236312589104,10.692764800431279,29.823423323710877,4.2251604261726365,5.156963469310182,3.557471897708499,4.176727959657787,3.702086963092575,4.38801824615189,6.353554224829966,9.483993198637211,5.486272501728952,7.181125376627625,12.752063978887184,39.94965869484221,5.4629423075653945,8.279618318789797,4.41825744713414,5.018276779879035,5.5817912166724835,8.00393617679762,6.072862331606538,10.756392222012922,6.131089033506974,11.557641165840534
HC103,4.3086162023887296,4.972400834330194,7.702036658555824,7.439557930348298,9.639867984824123,3.557503819005733,13.368620744597662,6.60332270130349,17.805473338889332,7.221647091086063,3.9754483353929584,13.849141568686068,5.710365273811724,8.396549815553788,5.296300104887555,8.506583028798019,4.786899111352613,6.2168825907890195,4.502541893158902,6.945667797374102,4.293007980669206,13.797261622083555,8.923955921508512,4.349916687773511,3.874954842331132,3.999532248565295,8.287306022028034,8.070369459678751,3.4391233343072085,7.988339112277269,8.42226426858543,7.099472317482881,3.9326866867816803,6.354248859760141,4.0415753338546265,9.174561813684235,7.739629841950578,3.5017973794468897,3.5566097025913552,4.557006112928676,3.5901845089743043,8.17573906074269,4.145029330786705,7.009518228633279,9.95308016010212,6.570136898915703,4.02944182357751,11.416380189156182,4.6067694364676015,7.3156647931114245,9.121234014345134,7.624202719671995,4.67239573122149,18.29670290131533,3.8619344846558783,7.417239894213813,9.278150872739728,4.128282568917914,4.11461802582881,3.1809469879724803,4.598214934903954,10.680079086589002,4.318366187258932,6.356225985843235,4.074503378275948,4.117427306136031,3.112291847496426,5.893776868222324,8.34002004953425,6.858690178846534,7.783717681807116,8.396549815553788,38.91858840903558,7.790775950377032,11.416380189156182,9.319231939943538,18.29670290131533,6.125667936569605,13.368620744597662,5.340550664649234,9.639867984824123,3.838340091806672,4.67239573122149,6.101399345101676,7.439557930348298,5.362998236822898,7.624202719671995,6.995779644884959,9.95308016010212,9.532959298993902,17.805473338889332,6.521024754591335,8.506583028798019,8.649407383205187,13.797261622083555,5.957962067800838,8.34002004953425,5.293443969021984,9.278150872739728
HC104,3.9893197702796557,4.28740548854284,5.52695977982162,12.601899012020125,6.739591280400235,8.626031111357221,3.3868905851010993,40.44989946291193,3.5889768645225226,9.814151858684955,5.9336382262309435,4.5086653104551875,8.962350792452348,8.898784823188166,4.913218762455589,5.964792090419223,4.416250859615749,6.12015439218939,3.2564507492184043,4.352293133389795,6.416493184576884,11.491155751389284,4.727263923051997,8.987269673714428,4.001236234127392,5.406671753523504,9.144361162644374,7.704367613674101,3.0763307368065016,8.228087617675126,7.947323089205305,8.10618985636933,3.7938735765700655,5.440853490739219,3.8435556346681303,8.94471921136224,3.392482765619743,10.408347562233866,3.9294567713999107,3.7905716091976105,3.0625300536541955,7.867658985092731,2.654044911855805,8.644555536698931,9.56914587829356,10.548429425848797,6.276440800264423,6.126113099189923,4.256849787339512,7.295544612966569,8.626620448361916,11.115484237876425,3.6593229418084547,18.52844520900777,3.9770249079791906,6.855939202500059,9.475350491169488,6.406406918224239,5.7172512503861554,16.50459773688494,5.17951160396861,11.646069111193425,7.482972300599529,9.014578417845355,3.4962409195850173,8.28526474347198,6.799496459789911,4.538659277394313,8.95754782762784,8.297695865898968,7.924889298070805,8.898784823188166,39.624446490354025,7.238271989173917,11.646069111193425,7.354602631915677,18.52844520900777,5.077352298457031,7.482972300599529,5.049173602084347,6.739591280400235,4.864630126671322,6.799496459789911,10.776254084662515,16.50459773688494,9.722103615196328,11.115484237876425,6.635386171464478,9.56914587829356,4.766316984228239,8.626620448361916,6.706249530312073,8.644555536698931,15.439179491295075,40.44989946291193,6.8207629488715895,9.144361162644374,4.821652934513407,9.475350491169488
HC105,3.698897248150983,4.168758946417287,2.7998906876522747,3.6355661448202046,4.859692855143753,3.943118346961447,4.00486277949347,4.089903267234827,5.280126716229644,16.231475378879153,5.328464916003438,4.140714572792478,5.686535754936232,7.350612150992722,4.400686734802103,5.9805994800040425,6.972365225708509,14.005384139207647,3.678240639881343,4.134226995410268,3.2440550247543762,6.931749175742599,3.7130675371503097,23.441288420394013,4.899430150554006,3.8630987072487737,7.753135287186234,7.923833865075958,3.5449861708535484,10.073902535477487,11.681229673069213,18.275654165783934,5.902393540729251,4.329099126955167,3.835022455462785,6.8085788764342,7.232580391189723,17.39585759627126,6.939473364917812,4.829757476924394,5.182293847349377,8.4405341610473,2.7695888412118372,7.696652037054075,40.56159366875256,15.85645455466138,8.820068372718145,6.204344337262848,4.32875565936299,7.821453213718975,9.129730734714608,27.45799508003987,5.7784438228901385,18.409469001567878,3.2742844807721787,8.066448829445486,8.643202886801179,10.348611229992418,10.83461502590022,22.85897448689332,11.073139347162975,46.07273248830644,10.365534864669895,7.784911408952135,9.582209134856566,16.48422901686412,11.419998708451988,4.494788181210315,8.8682678297226,8.796808987505004,8.115647598813293,8.796808987505004,40.57823799406647,12.936704258979233,46.07273248830644,7.147565587948767,18.409469001567878,5.155646156748704,10.365534864669895,6.866706951127094,11.073139347162975,6.873162192563477,11.419998708451988,14.926406698273297,22.85897448689332,20.202169098489684,27.45799508003987,14.569938856216556,40.56159366875256,6.98754290282817,9.582209134856566,7.653704845789062,10.348611229992418,6.687319188416548,7.821453213718975,6.152903439993324,8.8682678297226,4.611472376363929,8.643202886801179
HC106,10.313411439640413,4.17087812987983,3.3544348070266046,3.9590722529381095,4.918412861573196,4.136417018655979,13.288921256819185,4.358948486500469,3.8056060251387533,6.525802844618096,2.990191466685107,3.7090109392101147,7.298082390859391,7.496699210482039,6.696793541545561,14.080889840445995,7.26801434945184,13.622879412169276,5.349641485820195,6.695509363812567,6.554871672762367,38.99343123693942,5.791570885268936,23.07783183200664,12.688334887721533,4.888716484476211,9.993160135928436,8.35104245945998,3.484403882787042,10.36605682151682,8.666522224302156,14.35205912546947,7.664859574448554,5.997452685675498,5.709748686184158,17.945734976954093,4.114580086828488,13.705226445554556,10.468799643089296,5.265475720828544,4.172602042816032,8.433305489798428,6.356900275044696,22.07916342095363,40.250919382431306,13.201665924744027,13.809137881624384,8.50612749266731,3.806746911415433,13.182250371914416,22.59754258710592,25.15424320337465,14.406078536255732,18.55238219995808,7.085658437127516,8.316368461406968,14.147821084065466,15.089018203416474,10.226144466045819,17.618044959422594,21.076355562016715,14.324991728931975,3.5471037290750562,9.31416647127324,7.53385281508245,17.17428462513911,15.923005312565268,5.424151032361129,10.017838781493415,8.744580123970398,8.268399149023562,8.744580123970398,41.34199574511781,7.932099657948666,14.324991728931975,7.567947275366815,18.55238219995808,6.5814784512512405,13.288921256819185,10.563681473096608,21.076355562016715,11.295281969263387,15.923005312565268,12.550744334948694,17.618044959422594,17.12747779013861,25.15424320337465,13.953207045851546,40.250919382431306,8.768630479884909,22.59754258710592,13.157201283242548,22.07916342095363,16.758906308716327,38.99343123693942,7.713468357644958,10.017838781493415,8.199866044616636,14.147821084065466
HC107,8.629884611709704,8.627901601896772,7.689005373911954,9.984675130836985,7.886643502517767,13.28293733869202,10.573043862318304,10.903453810221636,5.72551025047521,10.823971903506465,7.226633961193775,4.090431009880943,11.974467390398699,8.23243825921236,5.0566680787726455,3.8413275121351416,3.894716384217985,12.671363320694335,3.4642273946326405,4.136391274302246,3.50847310470254,4.54590798773127,3.096699637986634,7.704173181770559,3.5494902204885825,4.030528203896047,8.206058608698994,8.202723007061103,4.02686295932101,3.2186069226665057,8.408467840098139,12.017851587971712,3.420444580342187,4.330838564682052,3.9579231003436695,3.4716428259874883,2.6973596846408348,6.770612974447582,4.479381752619332,4.401131850277707,4.28668890381874,7.959690691271389,3.451248812018879,4.709816983264547,10.852266722670043,17.292620122373553,7.800883241194826,7.309697192506823,3.7281240810391747,4.339511224636635,7.668434600998396,13.994864776875032,3.6613180240582173,52.09362876300321,3.880166839154055,7.620608802149212,9.373040825473279,4.02698604538895,3.4961265985277192,5.487136276667594,8.273857926201467,11.877402533026753,4.582763621839196,4.761601653675878,4.2117658647940805,3.5318025668257755,3.479982748168145,6.224634716850718,8.50461415406665,7.7617144503851305,7.955435042015838,8.23243825921236,39.77717521007919,8.18745338064198,13.28293733869202,14.168070908781724,52.09362876300321,5.270065554048577,10.573043862318304,6.169211328977778,8.273857926201467,4.47936134130561,7.226633961193775,11.490729287708835,17.292620122373553,8.565085080685083,13.994864776875032,6.8681165838851665,10.852266722670043,4.679954007779031,7.668434600998396,4.884927813070384,8.627901601896772,5.604423500450581,10.903453810221636,7.370399179227427,11.974467390398699,6.107541057459104,9.373040825473279
HC108,6.686787831462507,3.7598956292562256,4.559354489878902,7.502475575328228,4.70103370266929,14.909160406322334,6.036736190534729,4.428557336577285,3.9659731235428834,6.8115136626413495,9.954226240179413,4.617186807661758,18.2883852565483,7.986659230035515,4.857619788033333,8.317775577136159,4.2579288440623655,9.439107133316924,9.372808477225496,4.1115551672329795,3.7613266855817677,12.079819975306663,3.606873810055669,9.622086577942401,5.491493457303296,4.320685975879284,7.504575738535414,8.058459075156723,3.681404636474631,8.490104453295588,8.07398102803004,14.200013910998932,10.053473353341674,3.7518205962197455,4.14838986138881,10.033135147076164,2.4692709979931555,9.622285907780459,9.068422878513655,3.976275068273421,4.05602414643362,7.894039844748655,2.914221983467203,9.079709258416695,9.743763173595852,14.578471295327255,11.733492464652336,6.529448316952587,5.523702028987877,6.550547340684378,7.877369528951566,12.733775890741612,7.016735425858404,52.20282141853751,3.437890324837122,7.704716407931191,9.219454569965782,3.959524728201512,3.815979185873824,3.7174830933088803,3.6570092264554916,11.000513441583037,10.018503462588031,6.938605225186627,2.3837001462615923,6.1944202246679,3.3200816016291017,3.596112855864987,8.59674354065211,7.6879021879529565,7.866355349165008,8.058459075156723,39.33177674582504,8.060499585662138,14.909160406322334,13.742616425243392,52.20282141853751,5.897731645816243,10.018503462588031,7.903563444868858,11.733492464652336,6.970191920696773,9.954226240179413,9.887510201656044,14.578471295327255,8.996816452754745,12.733775890741612,6.0902013442881975,9.743763173595852,4.060637521360973,7.877369528951566,6.721401929261236,9.079709258416695,8.006133004966223,12.079819975306663,8.376723801401312,18.2883852565483,5.471897761880692,9.219454569965782
HC109,8.13037162709102,3.75987648249593,10.68765251694237,10.251073095122742,9.980945246575583,10.29491586092759,6.176144887920834,9.861846722052492,13.778536960113476,8.994277969895062,14.37263348235829,7.482325300375707,11.461760721604533,8.33275280593209,5.237151047156827,3.9343885586200185,6.592483713045201,3.818331452685521,4.115912144231705,3.038468383894705,3.7360107156672493,8.218819445113995,4.4199448185391805,3.9360691297354458,2.6793843983959755,4.819759702489354,7.489135597509097,7.725939845818152,6.09422040628402,3.9201096471133585,10.18343498940067,3.621542413056866,3.896869033847069,2.735447833268632,3.4721880037755875,3.1986905650956317,6.179435974964266,2.875844779298173,5.092290864540065,3.9616299967401316,5.170807106911682,8.13281603947054,3.698918519711244,5.161498929606361,9.701388738677927,4.342054553104457,4.203770830166254,5.685472043932053,6.054266244281939,5.931853626256423,9.404764706228459,3.829734682019611,6.070972588351917,18.379964998027152,2.7360028251545736,7.121504284050021,9.044374166849083,2.741345752365717,4.464585067318126,7.202117988613639,4.372264695784332,10.12814803390431,3.663644171781375,4.234190466601429,5.638751059489494,5.852480288666169,3.615612901251535,3.602522706798324,8.182331927075042,7.699543126218157,7.802511220297792,8.33275280593209,39.01255610148896,6.3764904311854576,10.29491586092759,7.649240540886135,18.379964998027152,4.6204508046853965,6.176144887920834,5.313952390120988,9.980945246575583,6.366178846979556,14.37263348235829,5.847023900516645,10.251073095122742,5.097681369922892,8.994277969895062,8.325909005076857,10.68765251694237,7.884286703866975,13.778536960113476,3.903443874040277,5.161498929606361,6.289080165023995,9.861846722052492,7.008007635650986,11.461760721604533,6.44100715341844,9.044374166849083
