item,variant,eval,ccc_mean,ccc_std,mae_mean
9,item_plus_v2_plus_moment,5split,0.21716666666666665,0.043259860789830976,0.37823333333333337
9,hy_residual_plus_moment,5split,0.25836666666666663,0.07008472650220508,0.38766666666666666
10,item_plus_v2_plus_moment,5split,0.5032,0.02746100265224606,0.4897333333333333
10,hy_residual_plus_moment,5split,0.48523333333333335,0.014025056941853117,0.5332
11,item_plus_v2_plus_moment,5split,0.14036666666666667,0.05704362852725585,0.4029666666666667
11,hy_residual_plus_moment,5split,0.10176666666666667,0.04418750451830874,0.43063333333333337
12,item_plus_v2_plus_moment,5split,0.5304000000000001,0.030841962756391922,0.5575
12,hy_residual_plus_moment,5split,0.5074,0.03725828766865165,0.5833333333333334
13,item_plus_v2_plus_moment,5split,0.09989999999999999,0.05170228879524257,0.6298333333333334
13,hy_residual_plus_moment,5split,0.014333333333333335,0.04025662126353323,0.6768333333333333
14,item_plus_v2_plus_moment,5split,0.2991333333333333,0.02496748997307412,0.5594
14,hy_residual_plus_moment,5split,0.21763333333333335,0.035619501524991735,0.5934333333333334
18,item_plus_v2_plus_moment,5split,0.35046666666666665,0.031559080397811905,0.9652
18,hy_residual_plus_moment,5split,0.4059333333333333,0.060350660495326995,0.9535333333333335
