item,variant,eval,ccc_mean,ccc_std,mae_mean
10,item_dedicated_cccv2_v3,5split,0.33716666666666667,0.07832587198507414,0.5751333333333334
11,item_dedicated_cccv2_v3,5split,0.24133333333333332,0.02609793520993992,0.3370666666666667
9,item_dedicated_cccv2_v3,5split,0.0614,0.05111444675105724,0.4274
9,bagged_cccv2_itemonly,5split,0.13526666666666667,0.031045915816559334,0.42179999999999995
10,bagged_cccv2_itemonly,5split,0.4061333333333333,0.03652399515691325,0.5672666666666667
11,bagged_cccv2_itemonly,5split,0.32156666666666667,0.02295972318842037,0.36719999999999997
13,item_dedicated_cccv2_v3,5split,0.029433333333333336,0.016139048574463393,0.6929666666666666
13,bagged_cccv2_itemonly,5split,0.07683333333333334,0.08953533132543574,0.6638
9,bagged_cccv2_hyresidual,5split,0.4243666666666666,0.048223253957216744,0.3422
9,bagged_cccv2_v2plusitem,5split,0.3677333333333333,0.01363581884433623,0.33253333333333335
10,bagged_cccv2_v2plusitem,5split,0.5564,0.023431175813432802,0.5053
14,item_dedicated_cccv2_v3,5split,0.22003333333333333,0.013155564939936588,0.6219666666666667
10,bagged_cccv2_hyresidual,5split,0.5421999999999999,0.010373363324720988,0.5447
18,item_dedicated_cccv2_v3,5split,0.19366666666666665,0.05037620690586205,1.1413333333333333
11,bagged_cccv2_v2plusitem,5split,0.19870000000000002,0.062498373312164436,0.38739999999999997
11,bagged_cccv2_hyresidual,5split,0.19233333333333333,0.07063862651238027,0.4308666666666667
14,bagged_cccv2_itemonly,5split,0.3207666666666667,0.023591005819073405,0.6057999999999999
13,bagged_cccv2_v2plusitem,5split,0.2707333333333333,0.02876691772775727,0.5817666666666668
18,bagged_cccv2_itemonly,5split,0.23163333333333336,0.028859814429217808,1.1192333333333333
13,bagged_cccv2_hyresidual,5split,0.21036666666666667,0.03547377748265454,0.6442666666666667
14,bagged_cccv2_v2plusitem,5split,0.37483333333333335,0.034191746892423554,0.5726
14,bagged_cccv2_hyresidual,5split,0.2681,0.032084887408248774,0.6254
18,bagged_cccv2_v2plusitem,5split,0.39386666666666664,0.04717077720604381,0.9360666666666667
18,bagged_cccv2_hyresidual,5split,0.4276666666666667,0.04630603512382471,0.976
