item,treatment,seed,ccc,variant,fog_added
9,control,42,0.3703,hy_residual_item,False
9,control,1337,0.3984,hy_residual_item,False
9,control,7,0.2524,hy_residual_item,False
10,control,42,0.4831,item_plus_v2,False
10,control,1337,0.4644,item_plus_v2,False
10,control,7,0.4883,item_plus_v2,False
11,control,42,0.3363,item_dedicated,False
11,control,1337,0.3366,item_dedicated,False
11,control,7,0.2278,item_dedicated,False
12,control,42,0.5126,item_plus_v2,False
12,control,1337,0.5665,item_plus_v2,False
12,control,7,0.5918,item_plus_v2,False
13,control,42,0.1418,item_plus_v2,False
13,control,1337,0.1011,item_plus_v2,False
13,control,7,0.15,item_plus_v2,False
14,control,42,0.3832,item_plus_v2,False
14,control,1337,0.3086,item_plus_v2,False
14,control,7,0.2996,item_plus_v2,False
9,fog_aug,42,0.371,hy_residual_item,True
9,fog_aug,1337,0.3961,hy_residual_item,True
9,fog_aug,7,0.2582,hy_residual_item,True
10,fog_aug,42,0.4831,item_plus_v2,False
10,fog_aug,1337,0.4644,item_plus_v2,False
10,fog_aug,7,0.4883,item_plus_v2,False
11,fog_aug,42,0.3363,item_dedicated,False
11,fog_aug,1337,0.3366,item_dedicated,False
11,fog_aug,7,0.2278,item_dedicated,False
12,fog_aug,42,0.55,item_plus_v2,True
12,fog_aug,1337,0.5417,item_plus_v2,True
12,fog_aug,7,0.6012,item_plus_v2,True
13,fog_aug,42,0.1418,item_plus_v2,False
13,fog_aug,1337,0.1011,item_plus_v2,False
13,fog_aug,7,0.15,item_plus_v2,False
14,fog_aug,42,0.3832,item_plus_v2,False
14,fog_aug,1337,0.3086,item_plus_v2,False
14,fog_aug,7,0.2996,item_plus_v2,False
