item,treatment,seed,ccc,variant,harnet_added
9,control,42,0.3703,hy_residual_item,False
9,control,1337,0.3984,hy_residual_item,False
9,control,7,0.2524,hy_residual_item,False
9,control,2024,0.4279,hy_residual_item,False
9,control,9001,0.3039,hy_residual_item,False
10,control,42,0.4831,item_plus_v2,False
10,control,1337,0.4644,item_plus_v2,False
10,control,7,0.4883,item_plus_v2,False
10,control,2024,0.4401,item_plus_v2,False
10,control,9001,0.5187,item_plus_v2,False
11,control,42,0.3363,item_dedicated,False
11,control,1337,0.3366,item_dedicated,False
11,control,7,0.2278,item_dedicated,False
11,control,2024,0.4008,item_dedicated,False
11,control,9001,0.3344,item_dedicated,False
12,control,42,0.5126,item_plus_v2,False
12,control,1337,0.5665,item_plus_v2,False
12,control,7,0.5918,item_plus_v2,False
12,control,2024,0.5112,item_plus_v2,False
12,control,9001,0.5676,item_plus_v2,False
13,control,42,0.1418,item_plus_v2,False
13,control,1337,0.1011,item_plus_v2,False
13,control,7,0.15,item_plus_v2,False
13,control,2024,0.1476,item_plus_v2,False
13,control,9001,0.1241,item_plus_v2,False
14,control,42,0.3832,item_plus_v2,False
14,control,1337,0.3086,item_plus_v2,False
14,control,7,0.2996,item_plus_v2,False
14,control,2024,0.1978,item_plus_v2,False
14,control,9001,0.3781,item_plus_v2,False
9,harnet_aug,42,0.3225,hy_residual_item,True
9,harnet_aug,1337,0.2941,hy_residual_item,True
9,harnet_aug,7,0.1481,hy_residual_item,True
9,harnet_aug,2024,0.2623,hy_residual_item,True
9,harnet_aug,9001,0.2648,hy_residual_item,True
10,harnet_aug,42,0.4896,item_plus_v2,True
10,harnet_aug,1337,0.4807,item_plus_v2,True
10,harnet_aug,7,0.443,item_plus_v2,True
10,harnet_aug,2024,0.4214,item_plus_v2,True
10,harnet_aug,9001,0.4258,item_plus_v2,True
11,harnet_aug,42,0.3363,item_dedicated,False
11,harnet_aug,1337,0.3366,item_dedicated,False
11,harnet_aug,7,0.2278,item_dedicated,False
11,harnet_aug,2024,0.4008,item_dedicated,False
11,harnet_aug,9001,0.3344,item_dedicated,False
12,harnet_aug,42,0.5267,item_plus_v2,True
12,harnet_aug,1337,0.5369,item_plus_v2,True
12,harnet_aug,7,0.5532,item_plus_v2,True
12,harnet_aug,2024,0.5295,item_plus_v2,True
12,harnet_aug,9001,0.5107,item_plus_v2,True
13,harnet_aug,42,0.1418,item_plus_v2,False
13,harnet_aug,1337,0.1011,item_plus_v2,False
13,harnet_aug,7,0.15,item_plus_v2,False
13,harnet_aug,2024,0.1476,item_plus_v2,False
13,harnet_aug,9001,0.1241,item_plus_v2,False
14,harnet_aug,42,0.3043,item_plus_v2,True
14,harnet_aug,1337,0.2622,item_plus_v2,True
14,harnet_aug,7,0.3063,item_plus_v2,True
14,harnet_aug,2024,0.2464,item_plus_v2,True
14,harnet_aug,9001,0.2989,item_plus_v2,True
