item,variant,seed,ccc
4,item_only,42,-0.1226
4,item_only,1337,0.012
4,item_only,7,0.0772
4,item_only,2024,-0.0511
4,item_only,9001,0.0466
4,item_plus_v2,42,0.0324
4,item_plus_v2,1337,0.0284
4,item_plus_v2,7,0.0593
4,item_plus_v2,2024,0.0184
4,item_plus_v2,9001,0.0697
4,hy_residual_item_v2,42,-0.0009
4,hy_residual_item_v2,1337,-0.0347
4,hy_residual_item_v2,7,0.0654
4,hy_residual_item_v2,2024,-0.0256
4,hy_residual_item_v2,9001,0.094
6,item_only,42,0.0878
6,item_only,1337,-0.0391
6,item_only,7,0.1632
6,item_only,2024,0.152
6,item_only,9001,0.1293
6,item_plus_v2,42,-0.0568
6,item_plus_v2,1337,-0.0135
6,item_plus_v2,7,0.0729
6,item_plus_v2,2024,-0.0916
6,item_plus_v2,9001,0.0499
6,hy_residual_item_v2,42,-0.1568
6,hy_residual_item_v2,1337,-0.061
6,hy_residual_item_v2,7,0.071
6,hy_residual_item_v2,2024,-0.0995
6,hy_residual_item_v2,9001,0.0339
15,item_only,42,0.0934
15,item_only,1337,0.101
15,item_only,7,0.0991
15,item_only,2024,0.0832
15,item_only,9001,0.0908
15,item_plus_v2,42,-0.0387
15,item_plus_v2,1337,-0.085
15,item_plus_v2,7,-0.0863
15,item_plus_v2,2024,-0.1236
15,item_plus_v2,9001,-0.0712
15,hy_residual_item_v2,42,-0.0543
15,hy_residual_item_v2,1337,-0.0515
15,hy_residual_item_v2,7,-0.0197
15,hy_residual_item_v2,2024,-0.0983
15,hy_residual_item_v2,9001,-0.03
16,item_only,42,0.1167
16,item_only,1337,0.073
16,item_only,7,0.0952
16,item_only,2024,0.1334
16,item_only,9001,0.0655
16,item_plus_v2,42,0.0973
16,item_plus_v2,1337,0.1996
16,item_plus_v2,7,0.2282
16,item_plus_v2,2024,0.2289
16,item_plus_v2,9001,0.1396
16,hy_residual_item_v2,42,0.0422
16,hy_residual_item_v2,1337,0.0618
16,hy_residual_item_v2,7,0.1655
16,hy_residual_item_v2,2024,0.1059
16,hy_residual_item_v2,9001,0.0875
17,item_only,42,0.1482
17,item_only,1337,0.0855
17,item_only,7,0.0124
17,item_only,2024,0.155
17,item_only,9001,0.0728
17,item_plus_v2,42,0.1701
17,item_plus_v2,1337,0.1974
17,item_plus_v2,7,0.2278
17,item_plus_v2,2024,0.279
17,item_plus_v2,9001,0.21
17,hy_residual_item_v2,42,0.1027
17,hy_residual_item_v2,1337,0.2105
17,hy_residual_item_v2,7,0.1891
17,hy_residual_item_v2,2024,0.2295
17,hy_residual_item_v2,9001,0.1713
18,item_only,42,0.0083
18,item_only,1337,0.1632
18,item_only,7,0.1012
18,item_only,2024,0.2409
18,item_only,9001,0.1243
18,item_plus_v2,42,0.3177
18,item_plus_v2,1337,0.3298
18,item_plus_v2,7,0.3465
18,item_plus_v2,2024,0.3423
18,item_plus_v2,9001,0.347
18,hy_residual_item_v2,42,0.3988
18,hy_residual_item_v2,1337,0.3929
18,hy_residual_item_v2,7,0.391
18,hy_residual_item_v2,2024,0.4228
18,hy_residual_item_v2,9001,0.4107
