item,treatment,seed,ccc,variant
9,control,42,0.3703,hy_residual_item
10,control,42,0.4831,item_plus_v2
11,control,42,0.3363,item_dedicated
12,control,42,0.5126,item_plus_v2
13,control,42,0.1418,item_plus_v2
14,control,42,0.3832,item_plus_v2
T1_SUM,control,42,0.6357,sum_OOF
9,control,1337,0.3984,hy_residual_item
10,control,1337,0.4644,item_plus_v2
11,control,1337,0.3366,item_dedicated
12,control,1337,0.5665,item_plus_v2
13,control,1337,0.1011,item_plus_v2
14,control,1337,0.3086,item_plus_v2
T1_SUM,control,1337,0.6729,sum_OOF
9,control,7,0.2524,hy_residual_item
10,control,7,0.4883,item_plus_v2
11,control,7,0.2278,item_dedicated
12,control,7,0.5918,item_plus_v2
13,control,7,0.15,item_plus_v2
14,control,7,0.2996,item_plus_v2
T1_SUM,control,7,0.6499,sum_OOF
9,control,2024,0.4279,hy_residual_item
10,control,2024,0.4401,item_plus_v2
11,control,2024,0.4008,item_dedicated
12,control,2024,0.5112,item_plus_v2
13,control,2024,0.1476,item_plus_v2
14,control,2024,0.1978,item_plus_v2
T1_SUM,control,2024,0.6224,sum_OOF
9,control,9001,0.3039,hy_residual_item
10,control,9001,0.5187,item_plus_v2
11,control,9001,0.3344,item_dedicated
12,control,9001,0.5676,item_plus_v2
13,control,9001,0.1241,item_plus_v2
14,control,9001,0.3781,item_plus_v2
T1_SUM,control,9001,0.6812,sum_OOF
9,unused_aug,42,0.3537,hy_residual_item
10,unused_aug,42,0.4494,item_plus_v2
11,unused_aug,42,0.1243,item_dedicated
12,unused_aug,42,0.5454,item_plus_v2
13,unused_aug,42,0.0924,item_plus_v2
14,unused_aug,42,0.3461,item_plus_v2
T1_SUM,unused_aug,42,0.6305,sum_OOF
9,unused_aug,1337,0.3874,hy_residual_item
10,unused_aug,1337,0.4902,item_plus_v2
11,unused_aug,1337,0.2284,item_dedicated
12,unused_aug,1337,0.5645,item_plus_v2
13,unused_aug,1337,0.077,item_plus_v2
14,unused_aug,1337,0.3001,item_plus_v2
T1_SUM,unused_aug,1337,0.6261,sum_OOF
9,unused_aug,7,0.3211,hy_residual_item
10,unused_aug,7,0.473,item_plus_v2
11,unused_aug,7,0.1061,item_dedicated
12,unused_aug,7,0.5923,item_plus_v2
13,unused_aug,7,0.2057,item_plus_v2
14,unused_aug,7,0.3659,item_plus_v2
T1_SUM,unused_aug,7,0.6161,sum_OOF
9,unused_aug,2024,0.4168,hy_residual_item
10,unused_aug,2024,0.3542,item_plus_v2
11,unused_aug,2024,0.1863,item_dedicated
12,unused_aug,2024,0.5513,item_plus_v2
13,unused_aug,2024,0.1387,item_plus_v2
14,unused_aug,2024,0.2945,item_plus_v2
T1_SUM,unused_aug,2024,0.5557,sum_OOF
9,unused_aug,9001,0.3069,hy_residual_item
10,unused_aug,9001,0.5254,item_plus_v2
11,unused_aug,9001,0.2337,item_dedicated
12,unused_aug,9001,0.5277,item_plus_v2
13,unused_aug,9001,0.1086,item_plus_v2
14,unused_aug,9001,0.3038,item_plus_v2
T1_SUM,unused_aug,9001,0.6197,sum_OOF
