item,treatment,seed,ccc,variant
9,control,42,0.3703,hy_residual_item
10,control,42,0.4831,item_plus_v2
11,control,42,0.3363,item_dedicated
12,control,42,0.5126,item_plus_v2
13,control,42,0.1418,item_plus_v2
14,control,42,0.3832,item_plus_v2
T1_SUM,control,42,0.6357,sum_OOF
9,control,1337,0.3984,hy_residual_item
10,control,1337,0.4644,item_plus_v2
11,control,1337,0.3366,item_dedicated
12,control,1337,0.5665,item_plus_v2
13,control,1337,0.1011,item_plus_v2
14,control,1337,0.3086,item_plus_v2
T1_SUM,control,1337,0.6729,sum_OOF
9,control,7,0.2524,hy_residual_item
10,control,7,0.4883,item_plus_v2
11,control,7,0.2278,item_dedicated
12,control,7,0.5918,item_plus_v2
13,control,7,0.15,item_plus_v2
14,control,7,0.2996,item_plus_v2
T1_SUM,control,7,0.6499,sum_OOF
9,control,2024,0.4279,hy_residual_item
10,control,2024,0.4401,item_plus_v2
11,control,2024,0.4008,item_dedicated
12,control,2024,0.5112,item_plus_v2
13,control,2024,0.1476,item_plus_v2
14,control,2024,0.1978,item_plus_v2
T1_SUM,control,2024,0.6224,sum_OOF
9,control,9001,0.3039,hy_residual_item
10,control,9001,0.5187,item_plus_v2
11,control,9001,0.3344,item_dedicated
12,control,9001,0.5676,item_plus_v2
13,control,9001,0.1241,item_plus_v2
14,control,9001,0.3781,item_plus_v2
T1_SUM,control,9001,0.6812,sum_OOF
9,ssl_aug,42,0.3132,hy_residual_item
10,ssl_aug,42,0.4499,item_plus_v2
11,ssl_aug,42,0.3001,item_dedicated
12,ssl_aug,42,0.5542,item_plus_v2
13,ssl_aug,42,0.0848,item_plus_v2
14,ssl_aug,42,0.4183,item_plus_v2
T1_SUM,ssl_aug,42,0.6548,sum_OOF
9,ssl_aug,1337,0.3794,hy_residual_item
10,ssl_aug,1337,0.4515,item_plus_v2
11,ssl_aug,1337,0.1787,item_dedicated
12,ssl_aug,1337,0.5776,item_plus_v2
13,ssl_aug,1337,0.1071,item_plus_v2
14,ssl_aug,1337,0.3476,item_plus_v2
T1_SUM,ssl_aug,1337,0.6608,sum_OOF
9,ssl_aug,7,0.2385,hy_residual_item
10,ssl_aug,7,0.4646,item_plus_v2
11,ssl_aug,7,0.2042,item_dedicated
12,ssl_aug,7,0.5671,item_plus_v2
13,ssl_aug,7,0.1711,item_plus_v2
14,ssl_aug,7,0.2929,item_plus_v2
T1_SUM,ssl_aug,7,0.6238,sum_OOF
9,ssl_aug,2024,0.3767,hy_residual_item
10,ssl_aug,2024,0.4462,item_plus_v2
11,ssl_aug,2024,0.3564,item_dedicated
12,ssl_aug,2024,0.5538,item_plus_v2
13,ssl_aug,2024,0.1414,item_plus_v2
14,ssl_aug,2024,0.2574,item_plus_v2
T1_SUM,ssl_aug,2024,0.6346,sum_OOF
9,ssl_aug,9001,0.2826,hy_residual_item
10,ssl_aug,9001,0.4863,item_plus_v2
11,ssl_aug,9001,0.2088,item_dedicated
12,ssl_aug,9001,0.5101,item_plus_v2
13,ssl_aug,9001,0.1515,item_plus_v2
14,ssl_aug,9001,0.372,item_plus_v2
T1_SUM,ssl_aug,9001,0.6451,sum_OOF
