seed,fold,null_mode,include_canary,n_train,n_test,lambda_star,inner_scores,correction_mean,correction_std,component_explained_variance
42,0,real,False,73,19,0.0,"{'0.0': 0.6483156294124495, '0.25': 0.6452159118765113, '0.5': 0.6418507428973825, '0.75': 0.6382256215995928, '1.0': 0.6343466674455297}",0.1395193728821433,0.003911382623778455,"{'ph_trunk_h1_max': 0.4111710197311475, 'ph_trunk_h1_med': 0.4656025483818195, 'ph_sacrum_h1_max': 0.26839860709886953, 'ph_sacrum_h1_med': 0.5363284165793065, 'mfdfa_delta_alpha': 0.3729742614483494, 'mfdfa_asymmetry': 0.3295867614200321, 'mfdfa_hurst_q2': 0.5298949066798297, 'mfdfa_h_range': 0.3399566901561184}"
42,1,real,False,73,19,0.0,"{'0.0': 0.7277720045510854, '0.25': 0.7260637188079877, '0.5': 0.7242387882443354, '0.75': 0.7222984606429608, '1.0': 0.720244092356526}",-0.027996393138493524,0.021403270206110252,"{'ph_trunk_h1_max': 0.3897618288688439, 'ph_trunk_h1_med': 0.4694997266577779, 'ph_sacrum_h1_max': 0.24446322449824798, 'ph_sacrum_h1_med': 0.5211141511546908, 'mfdfa_delta_alpha': 0.35607217520699386, 'mfdfa_asymmetry': 0.295083240941977, 'mfdfa_hurst_q2': 0.532921945024223, 'mfdfa_h_range': 0.33033396618694644}"
42,2,real,False,74,18,0.25,"{'0.0': 0.7478658664654831, '0.25': 0.7484772318439881, '0.5': 0.7484255634828619, '0.75': 0.747696291175729, '1.0': 0.7462781354460541}",-0.32867614152587793,0.14010180205046466,"{'ph_trunk_h1_max': 0.428534931377282, 'ph_trunk_h1_med': 0.47894162858490946, 'ph_sacrum_h1_max': 0.24982090166980506, 'ph_sacrum_h1_med': 0.554610594158233, 'mfdfa_delta_alpha': 0.3625843178262495, 'mfdfa_asymmetry': 0.35271328570227517, 'mfdfa_hurst_q2': 0.5277094520322575, 'mfdfa_h_range': 0.3476234905491955}"
42,3,real,False,74,18,0.0,"{'0.0': 0.7026771076586795, '0.25': 0.7017020983931168, '0.5': 0.7006644300236488, '0.75': 0.699564539533475, '1.0': 0.6984028964763019}",-0.05420736651019173,0.004887216801064363,"{'ph_trunk_h1_max': 0.41299777586783265, 'ph_trunk_h1_med': 0.43497337804139036, 'ph_sacrum_h1_max': 0.2519522655728013, 'ph_sacrum_h1_med': 0.5562464066274329, 'mfdfa_delta_alpha': 0.37213661180917207, 'mfdfa_asymmetry': 0.3215827324698731, 'mfdfa_hurst_q2': 0.5518841408048766, 'mfdfa_h_range': 0.31822543891548566}"
42,4,real,False,74,18,0.0,"{'0.0': 0.7413229156845401, '0.25': 0.7353095338785481, '0.5': 0.7282605592812489, '0.75': 0.7201890751946394, '1.0': 0.7111165218737906}",0.20531110341943937,0.306647136991636,"{'ph_trunk_h1_max': 0.4395501224434931, 'ph_trunk_h1_med': 0.45727938365579446, 'ph_sacrum_h1_max': 0.2792250888161429, 'ph_sacrum_h1_med': 0.5064424011465215, 'mfdfa_delta_alpha': 0.3830967791538481, 'mfdfa_asymmetry': 0.33987186450320106, 'mfdfa_hurst_q2': 0.5243159033812482, 'mfdfa_h_range': 0.3421207699750131}"
1337,0,real,False,73,19,0.0,"{'0.0': 0.7349941847166299, '0.25': 0.7323388359731305, '0.5': 0.7295275605048452, '0.75': 0.7265614740589833, '1.0': 0.7234418864939488}",-0.06965052670975848,0.02164408733006835,"{'ph_trunk_h1_max': 0.43315933598461903, 'ph_trunk_h1_med': 0.4391638099127654, 'ph_sacrum_h1_max': 0.2084790443532674, 'ph_sacrum_h1_med': 0.5124193385074108, 'mfdfa_delta_alpha': 0.34908800056971445, 'mfdfa_asymmetry': 0.31619828325418053, 'mfdfa_hurst_q2': 0.5239060438856523, 'mfdfa_h_range': 0.32950114022528604}"
1337,1,real,False,73,19,0.0,"{'0.0': 0.7166406140478062, '0.25': 0.7142881087679079, '0.5': 0.711500537997379, '0.75': 0.7082707255596726, '1.0': 0.704592720486548}",0.1848854348852371,0.33475304325046173,"{'ph_trunk_h1_max': 0.4153621352542152, 'ph_trunk_h1_med': 0.4659299373138606, 'ph_sacrum_h1_max': 0.2557205762786986, 'ph_sacrum_h1_med': 0.5661821808076478, 'mfdfa_delta_alpha': 0.3983802562420508, 'mfdfa_asymmetry': 0.3453479864853635, 'mfdfa_hurst_q2': 0.5301553939797827, 'mfdfa_h_range': 0.3454755186891859}"
1337,2,real,False,74,18,0.0,"{'0.0': 0.7369577266775732, '0.25': 0.7335007590403003, '0.5': 0.7299123676824112, '0.75': 0.7261947011507925, '1.0': 0.72235004471715}",-0.011433968906077096,0.0031090666839317643,"{'ph_trunk_h1_max': 0.42330369009310564, 'ph_trunk_h1_med': 0.4681828807760573, 'ph_sacrum_h1_max': 0.274701338157241, 'ph_sacrum_h1_med': 0.5365934050586335, 'mfdfa_delta_alpha': 0.3997395946829434, 'mfdfa_asymmetry': 0.33564982619206724, 'mfdfa_hurst_q2': 0.5347069261137455, 'mfdfa_h_range': 0.35458394630782186}"
1337,3,real,False,74,18,0.0,"{'0.0': 0.7185428316641536, '0.25': 0.7161971026979213, '0.5': 0.7134053330236578, '0.75': 0.7101692205840192, '1.0': 0.7064920947870406}",-0.21843331122475396,0.13859387243814328,"{'ph_trunk_h1_max': 0.3967519344973572, 'ph_trunk_h1_med': 0.44569359879758647, 'ph_sacrum_h1_max': 0.27360225995705145, 'ph_sacrum_h1_med': 0.5324584858688358, 'mfdfa_delta_alpha': 0.36733025324294566, 'mfdfa_asymmetry': 0.353183549195953, 'mfdfa_hurst_q2': 0.5200999659734495, 'mfdfa_h_range': 0.3384616715702653}"
1337,4,real,False,74,18,0.0,"{'0.0': 0.6576229354021921, '0.25': 0.6545409326557334, '0.5': 0.6512989139785617, '0.75': 0.6479009027881136, '1.0': 0.6443511253149476}",0.05037060093184887,0.00811983397555944,"{'ph_trunk_h1_max': 0.41403741652352716, 'ph_trunk_h1_med': 0.4866635786997759, 'ph_sacrum_h1_max': 0.2589412179829084, 'ph_sacrum_h1_med': 0.528636819503994, 'mfdfa_delta_alpha': 0.32943957688397796, 'mfdfa_asymmetry': 0.29116271570857727, 'mfdfa_hurst_q2': 0.5587564027173351, 'mfdfa_h_range': 0.3148306926378234}"
