item,variant,seed,ccc_per_item
9,item_only,42,0.0129
9,item_only,1337,0.0727
9,item_only,7,0.1045
9,item_plus_v2,42,0.1849
9,item_plus_v2,1337,0.1365
9,item_plus_v2,7,0.2136
9,hy_residual_item_v2,42,0.3859
9,hy_residual_item_v2,1337,0.3496
9,hy_residual_item_v2,7,0.4101
12,item_only,42,0.211
12,item_only,1337,0.3437
12,item_only,7,0.2067
12,item_plus_v2,42,0.5955
12,item_plus_v2,1337,0.5231
12,item_plus_v2,7,0.5105
12,hy_residual_item_v2,42,0.526
12,hy_residual_item_v2,1337,0.4195
12,hy_residual_item_v2,7,0.5224
