config,method,bases,n_bases,seed,ccc,mae,r,alpha_median
C0_hy_only,direct_ridge,B_hy,1,42,0.1972,7.774,0.316,100.0
C0_hy_only,direct_ridge,B_hy,1,1337,0.2058,7.755,0.3273,100.0
C0_hy_only,direct_ridge,B_hy,1,7,0.1965,7.855,0.3071,100.0
C1_hy_T1,direct_ridge,B_hy+B_T1,2,42,0.2973,7.485,0.3934,100.0
C1_hy_T1,direct_ridge,B_hy+B_T1,2,1337,0.2964,7.635,0.3963,100.0
C1_hy_T1,direct_ridge,B_hy+B_T1,2,7,0.2891,7.468,0.4128,100.0
C2_hy_18,direct_ridge,B_hy+B_18,2,42,0.2135,7.845,0.3202,10.0
C2_hy_18,direct_ridge,B_hy+B_18,2,1337,0.2366,7.711,0.3513,10.0
C2_hy_18,direct_ridge,B_hy+B_18,2,7,0.2269,7.828,0.3337,10.0
C3_hy_T1_18,direct_ridge,B_hy+B_T1+B_18,3,42,0.3624,7.334,0.4432,10.0
C3_hy_T1_18,direct_ridge,B_hy+B_T1+B_18,3,1337,0.3754,7.24,0.4654,10.0
C3_hy_T1_18,direct_ridge,B_hy+B_T1+B_18,3,7,0.3449,7.214,0.4454,10.0
C4_T1_18_no_hy,direct_ridge,B_T1+B_18,2,42,0.3608,7.332,0.4484,10.0
C4_T1_18_no_hy,direct_ridge,B_T1+B_18,2,1337,0.3707,7.241,0.4694,10.0
C4_T1_18_no_hy,direct_ridge,B_T1+B_18,2,7,0.3453,7.2,0.4586,10.0
R1_hy_anchor_T1,residual_augment,B_hy+aug(B_T1),2,42,0.3147,8.159,0.3331,100.0
R1_hy_anchor_T1,residual_augment,B_hy+aug(B_T1),2,1337,0.3113,8.132,0.3277,100.0
R1_hy_anchor_T1,residual_augment,B_hy+aug(B_T1),2,7,0.3216,8.059,0.3417,100.0
R2_hy_anchor_18,residual_augment,B_hy+aug(B_18),2,42,0.3508,7.973,0.3776,10.0
R2_hy_anchor_18,residual_augment,B_hy+aug(B_18),2,1337,0.362,7.874,0.3882,10.0
R2_hy_anchor_18,residual_augment,B_hy+aug(B_18),2,7,0.363,7.851,0.3911,10.0
R3_hy_anchor_T1_18,residual_augment,B_hy+aug(B_T1+B_18),3,42,0.3354,8.151,0.3545,10.0
R3_hy_anchor_T1_18,residual_augment,B_hy+aug(B_T1+B_18),3,1337,0.3548,7.995,0.3725,10.0
R3_hy_anchor_T1_18,residual_augment,B_hy+aug(B_T1+B_18),3,7,0.38,7.811,0.4016,10.0
