feature_set,extras,n_extra,alpha,seed,ccc,mae,r,wall_time_s
A0_hy_only_repro,(hy_only),0,1.0,42,0.4458,7.797,0.4812,19.3
A0_hy_only_repro,(hy_only),0,1.0,1337,0.3312,8.663,0.3545,36.1
A0_hy_only_repro,(hy_only),0,1.0,7,0.4214,8.379,0.4343,33.7
A1_hy_yrs,cv_yrs,1,1.0,42,0.4932,7.544,0.5274,17.3
A1_hy_yrs,cv_yrs,1,1.0,1337,0.4523,8.058,0.4812,15.7
A1_hy_yrs,cv_yrs,1,1.0,7,0.4408,7.72,0.4687,13.9
A2_hy_yrs_sex,cv_yrs+cv_sex,2,1.0,42,0.5052,7.737,0.5321,12.5
A2_hy_yrs_sex,cv_yrs+cv_sex,2,1.0,1337,0.3822,8.728,0.4019,14.2
A2_hy_yrs_sex,cv_yrs+cv_sex,2,1.0,7,0.5144,7.401,0.5414,12.4
A3_tier1,cv_yrs+cv_sex+cv_dbs,3,1.0,42,0.4785,7.98,0.4983,14.3
A3_tier1,cv_yrs+cv_sex+cv_dbs,3,1.0,1337,0.4157,8.4,0.4377,12.7
A3_tier1,cv_yrs+cv_sex+cv_dbs,3,1.0,7,0.5082,7.814,0.5283,14.9
A4_tier1_plus,cv_yrs+cv_sex+cv_dbs+cv_age+ext_late_pd,5,1.0,42,0.4501,8.128,0.4706,11.4
A4_tier1_plus,cv_yrs+cv_sex+cv_dbs+cv_age+ext_late_pd,5,1.0,1337,0.4177,8.305,0.4421,13.3
A4_tier1_plus,cv_yrs+cv_sex+cv_dbs+cv_age+ext_late_pd,5,1.0,7,0.4662,8.228,0.4801,12.1
A5_tier1_plus_site,cv_yrs+cv_sex+cv_dbs+cv_age+ext_late_pd+site_nls,6,1.0,42,0.4539,8.312,0.466,11.3
A5_tier1_plus_site,cv_yrs+cv_sex+cv_dbs+cv_age+ext_late_pd+site_nls,6,1.0,1337,0.4189,8.214,0.4428,23.8
A5_tier1_plus_site,cv_yrs+cv_sex+cv_dbs+cv_age+ext_late_pd+site_nls,6,1.0,7,0.4592,8.037,0.4776,16.5
A6_yrs_dbs_only,cv_yrs+cv_dbs,2,1.0,42,0.4645,7.877,0.4966,13.3
A6_yrs_dbs_only,cv_yrs+cv_dbs,2,1.0,1337,0.3547,8.814,0.3802,13.3
A6_yrs_dbs_only,cv_yrs+cv_dbs,2,1.0,7,0.4632,7.772,0.4912,18.9
