variant,seed,stage1_cols,drop_cv_stage2,ccc,mae,r,stage2_n_features,selected_cv_total,wall_s
hy_only_stage2_current,42,(hy_only),False,0.4458041761744364,7.797231155479702,0.4811740627651651,1752,6,1.9
hy_only_stage2_current,1337,(hy_only),False,0.33123471919973846,8.66265891222888,0.3544912379292185,1752,1,1.9
hy_only_stage2_current,7,(hy_only),False,0.42137594077699114,8.378647972854525,0.43426667468054403,1752,5,1.8
hy_only_stage2_no_cv,42,(hy_only),True,0.43770686644648715,8.029887587333343,0.47132860802346344,1746,0,1.8
hy_only_stage2_no_cv,1337,(hy_only),True,0.32419839026340347,8.638171502082335,0.3572125724605225,1746,0,1.9
hy_only_stage2_no_cv,7,(hy_only),True,0.4369535594527074,7.999901089282121,0.4544106275521472,1746,0,3.1
A3_stage1_stage2_current,42,cv_yrs+cv_sex+cv_dbs,False,0.47851407238376387,7.979689737258424,0.49826121311555244,1752,2,1.8
A3_stage1_stage2_current,1337,cv_yrs+cv_sex+cv_dbs,False,0.41573182733801695,8.399732101425919,0.4377285218394018,1752,6,1.9
A3_stage1_stage2_current,7,cv_yrs+cv_sex+cv_dbs,False,0.5081543624980888,7.813982301416336,0.5282720079265771,1752,5,1.8
A3_stage1_stage2_no_cv,42,cv_yrs+cv_sex+cv_dbs,True,0.5050405964652028,7.575017043032385,0.530597347132792,1746,0,1.8
A3_stage1_stage2_no_cv,1337,cv_yrs+cv_sex+cv_dbs,True,0.45204313973944893,8.01990335892215,0.4756337336396936,1746,0,1.9
A3_stage1_stage2_no_cv,7,cv_yrs+cv_sex+cv_dbs,True,0.49677817773711946,7.875533655467362,0.5154673447076925,1746,0,1.8
all_cv_stage1_stage2_current,42,cv_age+cv_dbs+cv_ht+cv_sex+cv_wt+cv_yrs,False,0.45273483025791594,8.273243664088454,0.4645569024934567,1752,7,1.9
all_cv_stage1_stage2_current,1337,cv_age+cv_dbs+cv_ht+cv_sex+cv_wt+cv_yrs,False,0.44755448165916045,8.143064983489596,0.4686717149215299,1752,1,1.8
all_cv_stage1_stage2_current,7,cv_age+cv_dbs+cv_ht+cv_sex+cv_wt+cv_yrs,False,0.505517896388211,7.605585465605277,0.5207199486946158,1752,2,1.8
all_cv_stage1_stage2_no_cv,42,cv_age+cv_dbs+cv_ht+cv_sex+cv_wt+cv_yrs,True,0.42548844844715283,8.177946273078165,0.4430975789752223,1746,0,1.8
all_cv_stage1_stage2_no_cv,1337,cv_age+cv_dbs+cv_ht+cv_sex+cv_wt+cv_yrs,True,0.4485357362472398,7.980292053889632,0.46793395629259704,1746,0,1.9
all_cv_stage1_stage2_no_cv,7,cv_age+cv_dbs+cv_ht+cv_sex+cv_wt+cv_yrs,True,0.5076335563430272,7.433444008073805,0.5231742066254343,1746,0,1.8
